year,model,stage,validation_year,rows,last_training_outcome,first_validation_signal,last_validation_outcome,outer_first_signal
2021,gbm2,inner,2019,8600,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,2020-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00
2021,gbm2,inner,2020,10608,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,2021-01-05 00:00:00+00:00,2021-01-08 00:00:00+00:00
2021,gbm2,outer,2021,12656,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,2022-01-10 00:00:00+00:00,2021-01-08 00:00:00+00:00
2022,ridge100,inner,2020,10608,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,2021-01-11 00:00:00+00:00,2022-01-07 00:00:00+00:00
2022,ridge100,inner,2021,12656,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,2022-01-03 00:00:00+00:00,2022-01-07 00:00:00+00:00
2022,ridge100,outer,2022,14672,2022-01-06 00:00:00+00:00,2022-01-07 00:00:00+00:00,2023-01-10 00:00:00+00:00,2022-01-07 00:00:00+00:00
2022,gbm2,inner,2020,10608,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,2021-01-11 00:00:00+00:00,2022-01-07 00:00:00+00:00
2022,gbm2,inner,2021,12656,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,2022-01-03 00:00:00+00:00,2022-01-07 00:00:00+00:00
2022,gbm2,outer,2022,14672,2022-01-06 00:00:00+00:00,2022-01-07 00:00:00+00:00,2023-01-10 00:00:00+00:00,2022-01-07 00:00:00+00:00
2023,ridge100,inner,2021,12656,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,2022-01-10 00:00:00+00:00,2023-01-06 00:00:00+00:00
2023,ridge100,inner,2022,14672,2022-01-06 00:00:00+00:00,2022-01-07 00:00:00+00:00,2023-01-04 00:00:00+00:00,2023-01-06 00:00:00+00:00
2023,ridge100,outer,2023,16672,2023-01-05 00:00:00+00:00,2023-01-06 00:00:00+00:00,2024-01-09 00:00:00+00:00,2023-01-06 00:00:00+00:00
2023,gbm2,inner,2021,12656,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,2022-01-10 00:00:00+00:00,2023-01-06 00:00:00+00:00
2023,gbm2,inner,2022,14672,2022-01-06 00:00:00+00:00,2022-01-07 00:00:00+00:00,2023-01-04 00:00:00+00:00,2023-01-06 00:00:00+00:00
2023,gbm2,outer,2023,16672,2023-01-05 00:00:00+00:00,2023-01-06 00:00:00+00:00,2024-01-09 00:00:00+00:00,2023-01-06 00:00:00+00:00
2024,ridge100,inner,2022,14672,2022-01-06 00:00:00+00:00,2022-01-07 00:00:00+00:00,2023-01-10 00:00:00+00:00,2024-01-05 00:00:00+00:00
2024,ridge100,inner,2023,16672,2023-01-05 00:00:00+00:00,2023-01-06 00:00:00+00:00,2024-01-03 00:00:00+00:00,2024-01-05 00:00:00+00:00
2024,ridge100,outer,2024,18672,2024-01-04 00:00:00+00:00,2024-01-05 00:00:00+00:00,2024-12-31 00:00:00+00:00,2024-01-05 00:00:00+00:00
2024,gbm2,inner,2022,14672,2022-01-06 00:00:00+00:00,2022-01-07 00:00:00+00:00,2023-01-10 00:00:00+00:00,2024-01-05 00:00:00+00:00
2024,gbm2,inner,2023,16672,2023-01-05 00:00:00+00:00,2023-01-06 00:00:00+00:00,2024-01-03 00:00:00+00:00,2024-01-05 00:00:00+00:00
2024,gbm2,outer,2024,18672,2024-01-04 00:00:00+00:00,2024-01-05 00:00:00+00:00,2024-12-31 00:00:00+00:00,2024-01-05 00:00:00+00:00
