anchor_ordinal,transition_id,anchor_timestamp,partition,prior_regime_label,current_regime_label,ordered_transition,trailing_log_return_24h,trailing_log_return_72h,trailing_log_return_168h,realized_volatility_24h,realized_volatility_168h,distance_from_close_mean_168h,controls_available,control_exclusion_reasons,forward_log_return_24h,outcome_available_24h,outcome_exclusion_reason_24h,forward_log_return_72h,outcome_available_72h,outcome_exclusion_reason_72h,forward_log_return_168h,outcome_available_168h,outcome_exclusion_reason_168h
0,822be86ed16abdedb7152bbb59573bc49bbccc9b7f4416773337248cfbe55313,2018-01-04T11:00:00,1,TREND_UP,RANGE,TREND_UP -> RANGE,-0.020331260005677049,0.094981606962867615,,0.061102982870133868,,,false,"[""MISSING_EXACT_CLOSE_MEAN_WINDOW_168H"",""MISSING_EXACT_CONTROL_WINDOW_168H""]",0.091348724240957677,true,,0.12978607776357085,true,,-0.078579942623035637,true,
1,c112c407e23d1ad76adcc011c51543281c69f254738d4c9884dcda8e0d7f3ab2,2018-01-11T22:00:00,1,TREND_DOWN,VOL_EXPANSION,TREND_DOWN -> VOL_EXPANSION,-0.09931037419778882,-0.11607860284224929,-0.13490134343096674,0.099853739450835297,0.18148616797903067,-1.9899912993567475,true,[],0.039991749648856587,true,,0.035919894853781338,true,,-0.14643857446756137,true,
2,f34158da67063fbead30b49cb7eca4ecf33b44407d1c8a1482bc6d5afca1c840,2018-01-19T00:00:00,1,RANGE,TREND_DOWN,RANGE -> TREND_DOWN,0.021234882406089839,-0.1379599443078465,-0.12886208019032008,0.097221811968876665,0.27554447740785037,-0.94387705455630611,true,[],0.00098110663353814212,true,,0.013455502601525737,true,,-0.019077918291234175,true,
3,5dcda536e1d607e07d9ff52d1877dd7107f0ab8b3ab504e3751510bb1ba440e7,2018-01-26T08:00:00,1,TREND_UP,RANGE,TREND_UP -> RANGE,-0.048405865584113479,0.0043800963334007974,-0.089436757785399168,0.065517459097121561,0.20280533733638459,-1.0243666645555836,true,[],0.035760517565433143,true,,0.029593755922421139,true,,-0.25986062441793562,true,
4,f914d618409c40b98625a54a6fd7358f2290f4f7bc1c80d3e4deab117830baf2,2018-02-02T12:00:00,1,TREND_DOWN,VOL_EXPANSION,TREND_DOWN -> VOL_EXPANSION,-0.1237413998923392,,,0.10036625484152684,,,false,"[""MISSING_EXACT_CLOSE_MEAN_WINDOW_168H"",""MISSING_EXACT_CONTROL_WINDOW_168H"",""MISSING_EXACT_CONTROL_WINDOW_72H""]",0.091085827861806287,true,,-0.069355230069573878,true,,-0.0064426241719433858,true,
5,8c142d51201ed1a1d27c16734439b5badbf1baf890702414779ff2c11d954143,2018-02-10T18:00:00,1,TREND_UP,RANGE,TREND_UP -> RANGE,-0.031537505068018612,0.0081938041270823245,-0.1231421979340047,0.070991582166546038,0.30099184906238324,0.38921316329087152,true,[],0.0011226145622051367,true,,0.030376364739770519,true,,0.26064487228913047,true,
6,946f8e8e3c56c414d85431860911aaa112f83f98844382dc26b7f77475fa34f2,2018-02-17T18:00:00,1,TREND_UP,VOL_COMPRESSION,TREND_UP -> VOL_COMPRESSION,0.08158776839345834,0.15085723334164466,0.26064487228913047,0.04272165252780781,0.15439947598641121,1.942719697933043,true,[],-0.0064288082605853574,true,,0.076067345134770051,true,,-0.12100607285594961,true,
7,c1e314a8f0db0cbf3ace6c93747cc08cebf284b48b063f8c93643570cd40c77c,2018-02-26T13:00:00,1,TREND_DOWN,RANGE,TREND_DOWN -> RANGE,0.062930987688902748,-0.0064012095526235916,-0.077876179633193807,0.050561476356399772,0.14325380615022215,-0.2994907280560774,true,[],0.068658856202646917,true,,0.060086146098783814,true,,0.12619987683489176,true,
8,cf53dab49e5ea4e3e7c9d88fb495bd1b09a8f84c7a0a092fb595858bc74d9d5f,2018-03-06T23:00:00,1,VOL_COMPRESSION,TREND_DOWN,VOL_COMPRESSION -> TREND_DOWN,-0.061397495145452168,-0.066216435082212713,0.012548497559565169,0.041004905330895673,0.094994576028948008,-0.98566489398288326,true,[],-0.075186914894606355,true,,-0.1450797954423996,true,,-0.15699162738780245,true,
9,f7a985897be71c55e93cb152efe3a2cf836fd5edcaac069cda0020c982a79b43,2018-03-14T02:00:00,1,TREND_DOWN,RANGE,TREND_DOWN -> RANGE,0.010798891264858532,0.052548850154694432,-0.15733942711012586,0.073399735242396513,0.20564342532193783,-0.3167230076341408,true,[],-0.16757078346939452,true,,-0.11394523174957835,true,,-0.028715339353774436,true,
