candidate_id,candidate_ordinal,predictor_class,prior_regime_label,current_regime_label,ordered_transition,horizon_hours
08ef553c12d504722ba1bf07550e27f8d3e697477e6b6b8e8f5eb78bc0747589,32,P-003,TREND_UP,VOL_EXPANSION,TREND_UP -> VOL_EXPANSION,168
8fdf8012b290527ecad1aca2e57c6952cc07dc23fcd0c593d5e47566a233c768,33,P-003,VOL_COMPRESSION,RANGE,VOL_COMPRESSION -> RANGE,24
7493fde9e467f0e46f3cc4a9228ca54a1cec0f8115d27abe153c2b3abffeef83,34,P-003,VOL_COMPRESSION,RANGE,VOL_COMPRESSION -> RANGE,72
cff7551dd5602539fcd402b63ba03d1406e881043fc6d5127ad1d37331308383,35,P-003,VOL_COMPRESSION,RANGE,VOL_COMPRESSION -> RANGE,168
19dcb1618bb114caa8588a2d37e383b3a6c97fb84cda6c1e6bbf07addce09ae8,36,P-003,VOL_COMPRESSION,TREND_DOWN,VOL_COMPRESSION -> TREND_DOWN,24
eae72a6d8a37f125b53aa67ea9921243fdf16bbc43f3ec60e1e4e09ea249e752,37,P-003,VOL_COMPRESSION,TREND_DOWN,VOL_COMPRESSION -> TREND_DOWN,72
3ed47ba27dbb264fcb274b91874dc312b2a7abeefb5b680307747922853f8a35,38,P-003,VOL_COMPRESSION,TREND_DOWN,VOL_COMPRESSION -> TREND_DOWN,168
6b4979888091bdbba3122825c7bc82a7427b0e44fed8c1aaa60762a6f6c4f835,39,P-003,VOL_COMPRESSION,TREND_UP,VOL_COMPRESSION -> TREND_UP,24
7c623fd8e64c731bdc0ef6f5d2079d8a7d752ec222405db29b8de4ec1ae3f506,40,P-003,VOL_COMPRESSION,TREND_UP,VOL_COMPRESSION -> TREND_UP,72
ec700dc814933e2762cb33dcd8eae23a34082c19e3b277ed4aee1dc12e21897e,41,P-003,VOL_COMPRESSION,TREND_UP,VOL_COMPRESSION -> TREND_UP,168
16b93d7a9dfdd2598da8997fa437bf0b4e0f596646944771cf507dab9700c0db,42,P-003,VOL_COMPRESSION,VOL_EXPANSION,VOL_COMPRESSION -> VOL_EXPANSION,24
b3497c8b3045404cbe20774027563b767ba88fd8fad8547ee407b77ad1bcbe9e,43,P-003,VOL_COMPRESSION,VOL_EXPANSION,VOL_COMPRESSION -> VOL_EXPANSION,72
b87cdd32403824bd73ef9e269ebafae7b6065469ab800899d5f0f0331a2f7a46,44,P-003,VOL_COMPRESSION,VOL_EXPANSION,VOL_COMPRESSION -> VOL_EXPANSION,168
183206d1f930de92fa9e626588a64176a5ed30a3e4e195de17d9845c63c98a4e,45,P-003,VOL_EXPANSION,TREND_DOWN,VOL_EXPANSION -> TREND_DOWN,24
c5a47c41cf54786660b34bd46ebb5623e627232d3cd6be455c98faf7289302e2,46,P-003,VOL_EXPANSION,TREND_DOWN,VOL_EXPANSION -> TREND_DOWN,72
c3f9f8ad112f3da2d47515c5e263a3bf1ac55a2542359d8aee0a150a244eb6ff,47,P-003,VOL_EXPANSION,TREND_DOWN,VOL_EXPANSION -> TREND_DOWN,168
a705b3441f968ae5cdf40b720a45a9aca80e2446f3dde990b5c9844e8306e6dd,48,P-003,VOL_EXPANSION,TREND_UP,VOL_EXPANSION -> TREND_UP,24
a42d9111b6e37c2d1f1b427e84a31cfe07f9f5eefb43668c02b8e3edaf92d5fe,49,P-003,VOL_EXPANSION,TREND_UP,VOL_EXPANSION -> TREND_UP,72
e21e5d20e1443b1bea4369e60b1a5dba18bd8bb879339866656a57b304159cd4,50,P-003,VOL_EXPANSION,TREND_UP,VOL_EXPANSION -> TREND_UP,168
