policy,scenario,year,days,total_return
fixed_blend_vol20_band2,cost_stress,2026,238,-0.050537905948458195
state_rule_vol20_band2,cost_stress,2025,365,0.00069374194168636549
state_rule_vol20_band2,cost_stress,2026,238,-0.048374247244997948
trend_vol40_exact,cost_stress,2025,365,-0.10039697676926007
trend_vol40_exact,cost_stress,2026,238,-0.046743237159696971
allocation_vol40_exact,cost_stress,2025,365,-0.091852538391628213
allocation_vol40_exact,cost_stress,2026,238,-0.16669494923685979
fixed_blend_vol40_exact,cost_stress,2025,365,-0.090892620552431858
fixed_blend_vol40_exact,cost_stress,2026,238,-0.09568692595603201
state_rule_vol40_exact,cost_stress,2025,365,0.0099964897862152569
state_rule_vol40_exact,cost_stress,2026,238,-0.046743237159696638
trend_vol40_band2,cost_stress,2025,365,-0.090737184864521425
trend_vol40_band2,cost_stress,2026,238,-0.045129935424827572
allocation_vol40_band2,cost_stress,2025,365,-0.082570898622948419
allocation_vol40_band2,cost_stress,2026,238,-0.16189741519652812
fixed_blend_vol40_band2,cost_stress,2025,365,-0.078063097495043365
fixed_blend_vol40_band2,cost_stress,2026,238,-0.088781718933279685
state_rule_vol40_band2,cost_stress,2025,365,0.020794490239933072
state_rule_vol40_band2,cost_stress,2026,238,-0.045129935424828349
btc_buy_hold,cost_stress,2025,365,-0.069642927356561968
btc_buy_hold,cost_stress,2026,238,-0.10926086859873552
eth_buy_hold,cost_stress,2025,365,-0.11582745564302821
eth_buy_hold,cost_stress,2026,238,-0.18289126646533005
mix_buy_hold,cost_stress,2025,365,-0.092735191499797476
mix_buy_hold,cost_stress,2026,238,-0.14513902435534443
usd_cash,cost_stress,2025,365,0
usd_cash,cost_stress,2026,238,0
trend_vol20_exact,delay_one_day,2025,365,-0.011119580642630411
trend_vol20_exact,delay_one_day,2026,238,-0.059720799274330605
allocation_vol20_exact,delay_one_day,2025,365,-0.018989492371014882
allocation_vol20_exact,delay_one_day,2026,238,-0.044533402216303419
fixed_blend_vol20_exact,delay_one_day,2025,365,-0.01412932819233792
fixed_blend_vol20_exact,delay_one_day,2026,238,-0.047954446341247792
state_rule_vol20_exact,delay_one_day,2025,365,0.0011358293113654661
state_rule_vol20_exact,delay_one_day,2026,238,-0.059720799274333936
trend_vol20_band2,delay_one_day,2025,365,-0.0060527315569537388
trend_vol20_band2,delay_one_day,2026,238,-0.060280135097171672
allocation_vol20_band2,delay_one_day,2025,365,-0.013118400120711304
allocation_vol20_band2,delay_one_day,2026,238,-0.039481066861290381
fixed_blend_vol20_band2,delay_one_day,2025,365,-0.012730474465852848
fixed_blend_vol20_band2,delay_one_day,2026,238,-0.047871282958247607
state_rule_vol20_band2,delay_one_day,2025,365,0.0022905019291763473
state_rule_vol20_band2,delay_one_day,2026,238,-0.060280135097171672
trend_vol40_exact,delay_one_day,2025,365,-0.09422474517756696
trend_vol40_exact,delay_one_day,2026,238,-0.062155020150647111
allocation_vol40_exact,delay_one_day,2025,365,-0.076631189739857497
allocation_vol40_exact,delay_one_day,2026,238,-0.14869805958659943
fixed_blend_vol40_exact,delay_one_day,2025,365,-0.080766582876856008
fixed_blend_vol40_exact,delay_one_day,2026,238,-0.092814533358717699
state_rule_vol40_exact,delay_one_day,2025,365,-0.023573968360210862
state_rule_vol40_exact,delay_one_day,2026,238,-0.062155020150647111
trend_vol40_band2,delay_one_day,2025,365,-0.089848679280095989
trend_vol40_band2,delay_one_day,2026,238,-0.062656553183707553
allocation_vol40_band2,delay_one_day,2025,365,-0.071340621576843843
allocation_vol40_band2,delay_one_day,2026,238,-0.14452295544717642
fixed_blend_vol40_band2,delay_one_day,2025,365,-0.074319820751084564
fixed_blend_vol40_band2,delay_one_day,2026,238,-0.090994114453031738
state_rule_vol40_band2,delay_one_day,2025,365,-0.01953631091835617
state_rule_vol40_band2,delay_one_day,2026,238,-0.062656553183708774
btc_buy_hold,delay_one_day,2025,365,-0.075726709419705163
btc_buy_hold,delay_one_day,2026,238,-0.10522225288961218
eth_buy_hold,delay_one_day,2025,365,-0.11789924561482223
eth_buy_hold,delay_one_day,2026,238,-0.17918649135106546
mix_buy_hold,delay_one_day,2025,365,-0.096812977517256926
mix_buy_hold,delay_one_day,2026,238,-0.1413409685710133
usd_cash,delay_one_day,2025,365,0
usd_cash,delay_one_day,2026,238,0
