policy,comparator,scenario,period,matched_risk_setting,cagr_difference,sharpe_difference,drawdown_difference,volatility_difference
state_rule_vol20_band2,trend_vol20_band2,frictionless,full_forward,True,0.0058797574270903485,0.037336244313428718,-0.0031194396071020369,0.00027165816913474194
state_rule_vol20_band2,allocation_vol20_band2,frictionless,full_forward,True,0.048030788656885592,0.21879224670056169,0.1609246365999959,-0.063907012523442441
state_rule_vol20_band2,fixed_blend_vol20_band2,frictionless,full_forward,True,0.027096358914268537,0.15420112875994144,0.083501730244574524,-0.021757273785139725
state_rule_vol20_band2,btc_buy_hold,frictionless,full_forward,False,0.11570427387347015,0.19866508047646741,0.35860460001164274,-0.28435091951967223
state_rule_vol20_band2,eth_buy_hold,frictionless,full_forward,False,0.18762064439672221,0.091226918383570429,0.50387407719721533,-0.55728748919729498
state_rule_vol20_band2,mix_buy_hold,frictionless,full_forward,False,0.15117776042411468,0.18002670661155321,0.42824956346723808,-0.38372768988713968
state_rule_vol20_band2,usd_cash,frictionless,full_forward,False,0.016121301221774909,,-0.172153195304247,0.15520876737658573
state_rule_vol20_band2,trend_vol20_band2,frictionless,2025,True,0.0099356128297420909,0.050235659773819552,-0.0031916951810051497,0.00036315704399825233
state_rule_vol20_band2,allocation_vol20_band2,frictionless,2025,True,0.04580146328466761,0.22515265328888184,0.032096905154042732,-0.017278095666066418
state_rule_vol20_band2,fixed_blend_vol20_band2,frictionless,2025,True,0.029236922211202998,0.14794868809168324,0.011479505477337892,-0.0076015999874920748
state_rule_vol20_band2,btc_buy_hold,frictionless,2025,False,0.10305376537572697,0.2466898786146775,0.16802976449299678,-0.22941581210305764
state_rule_vol20_band2,eth_buy_hold,frictionless,2025,False,0.14973004653878741,0.084388220508969519,0.44798623352852984,-0.56128558758087421
state_rule_vol20_band2,mix_buy_hold,frictionless,2025,False,0.12639292601358987,0.19949472000639118,0.27567640131616078,-0.34905718049638712
state_rule_vol20_band2,usd_cash,frictionless,2025,False,0.040180230715274989,,-0.15297778128410799,0.19003324327305024
state_rule_vol20_band2,trend_vol20_band2,frictionless,2026,True,5.5511151231257827e-16,-1.6653345369377348e-15,5.5511151231257827e-16,1.9428902930940239e-16
state_rule_vol20_band2,allocation_vol20_band2,frictionless,2026,True,0.051380197961394813,-0.031281553155787317,0.18758872843942753,-0.16090558828427559
state_rule_vol20_band2,fixed_blend_vol20_band2,frictionless,2026,True,0.024076764058175715,0.024849528370253948,0.086416442538272298,-0.06421422191688958
state_rule_vol20_band2,btc_buy_hold,frictionless,2026,False,0.13387316120314163,-0.10563656097881712,0.32521307955525425,-0.39401855674361319
state_rule_vol20_band2,eth_buy_hold,frictionless,2026,False,0.23926150204429031,-0.086783299768961458,0.4622819764992262,-0.57431795852101475
state_rule_vol20_band2,mix_buy_hold,frictionless,2026,False,0.18584041743770763,-0.068736731661506401,0.39207217960728113,-0.46419744368635019
state_rule_vol20_band2,usd_cash,frictionless,2026,False,-0.019684645539725709,,-0.071168402358648075,0.075609010640660917
state_rule_vol40_band2,trend_vol40_band2,frictionless,full_forward,True,0.066351837907601907,0.25622916648263599,0.0028189478687338232,0.011907878193161747
state_rule_vol40_band2,allocation_vol40_band2,frictionless,full_forward,True,0.16380503882655983,0.37460187605813211,0.29511017334080258,-0.16903798134286735
state_rule_vol40_band2,fixed_blend_vol40_band2,frictionless,full_forward,True,0.10306429051531429,0.32378599198981306,0.16010665319485895,-0.056993740019124772
state_rule_vol40_band2,btc_buy_hold,frictionless,full_forward,False,0.14642733384019291,0.32314022336177189,0.25959517427019962,-0.17504252884458676
state_rule_vol40_band2,eth_buy_hold,frictionless,full_forward,False,0.21834370436344497,0.21570206126887492,0.40486465145577222,-0.44797909852220952
state_rule_vol40_band2,mix_buy_hold,frictionless,full_forward,False,0.18190082039083744,0.30450184949685771,0.32924013772579497,-0.27441929921205421
state_rule_vol40_band2,usd_cash,frictionless,full_forward,False,0.046844361188497663,,-0.27116262104569011,0.2645171580516712
state_rule_vol40_band2,trend_vol40_band2,frictionless,2025,True,0.11121114197529369,0.33531724634273469,0.0028785695812177936,0.015604617891915029
state_rule_vol40_band2,allocation_vol40_band2,frictionless,2025,True,0.13499995506642937,0.3233650088663873,0.091436928827108188,-0.084944043105578682
state_rule_vol40_band2,fixed_blend_vol40_band2,frictionless,2025,True,0.11684907588784654,0.31960433964104729,0.025219637604896983,-0.027419272843431985
state_rule_vol40_band2,btc_buy_hold,frictionless,2025,False,0.1464129723803701,0.3514720688446476,0.065260084811859853,-0.085974426261299752
state_rule_vol40_band2,eth_buy_hold,frictionless,2025,False,0.19308925354343054,0.18917041073893962,0.34521655384739292,-0.41784420173911635
state_rule_vol40_band2,mix_buy_hold,frictionless,2025,False,0.169752133018233,0.30427691023636128,0.17290672163502385,-0.20561579465462926
state_rule_vol40_band2,usd_cash,frictionless,2025,False,0.083539437719918119,,-0.25574746096524492,0.33347462911480813
state_rule_vol40_band2,trend_vol40_band2,frictionless,2026,True,-6.6613381477509392e-16,-2.0698720515355262e-14,-3.3306690738754696e-16,-4.163336342344337e-16
state_rule_vol40_band2,allocation_vol40_band2,frictionless,2026,True,0.20235951221350224,0.24230582604834133,0.38534378612623932,-0.37358166480254479
state_rule_vol40_band2,fixed_blend_vol40_band2,frictionless,2026,True,0.083659046796459968,0.21157865352368943,0.19773878061553629,-0.16696469292503674
state_rule_vol40_band2,btc_buy_hold,frictionless,2026,False,0.1466406247378722,0.076448832430712058,0.32520976789109413,-0.38656449339304427
state_rule_vol40_band2,eth_buy_hold,frictionless,2026,False,0.25202896557902088,0.095302093640567714,0.46227866483506608,-0.56686389517044589
state_rule_vol40_band2,mix_buy_hold,frictionless,2026,False,0.1986078809724382,0.11334866174802277,0.39206886794312101,-0.45674338033578132
state_rule_vol40_band2,usd_cash,frictionless,2026,False,-0.0069171820049951371,,-0.071171714022808197,0.083063073991229822
state_rule_vol20_band2,trend_vol20_band2,base,full_forward,True,0.0084300886009842646,0.054831789145413992,-0.0026171143464079893,0.00026084167876899711
state_rule_vol20_band2,allocation_vol20_band2,base,full_forward,True,0.037273307515129472,0.13749067049198549,0.15203421554766205,-0.063917384416915218
state_rule_vol20_band2,fixed_blend_vol20_band2,base,full_forward,True,0.021633884246837765,0.11098138754285514,0.077329655825793431,-0.021803835504609903
state_rule_vol20_band2,btc_buy_hold,base,full_forward,False,0.10058717120980487,0.089524776911311721,0.34597449323554985,-0.28440935288675551
state_rule_vol20_band2,eth_buy_hold,base,full_forward,False,0.17224221502958936,-0.021105198923647636,0.49124397042112256,-0.55737093872968801
state_rule_vol20_band2,mix_buy_hold,base,full_forward,False,0.13593175568664617,0.069347740822090359,0.41561945669114442,-0.3837998240360021
state_rule_vol20_band2,usd_cash,base,full_forward,False,-0.0022676992280408204,,-0.1847833020803441,0.15511632573980191
state_rule_vol20_band2,trend_vol20_band2,base,2025,True,0.014272394468962668,0.073686284125616924,-0.0027095879536143119,0.00034615942547358558
state_rule_vol20_band2,allocation_vol20_band2,base,2025,True,0.036283777568103082,0.17531895367388575,0.030252856342722789,-0.017239338225293804
state_rule_vol20_band2,fixed_blend_vol20_band2,base,2025,True,0.025914522385767969,0.13030193573049065,0.012416843108574382,-0.0075587255795834252
