asset,scenario,model,period,cagr,zero_cash_sharpe,annual_vol,max_drawdown,calmar,terminal_multiple,mean_exposure,one_way_turnover_per_year,fees_initial_capital,worst_day
BTC,frictionless,unfiltered,full,0.004960942957178194,0.11081616666466997,0.14515544945291883,-0.31111572966409295,0.015945651357886823,1.030130294534399,0.022820629849383843,16.670653950811186,0.0,-0.20204569126687622
BTC,frictionless,unfiltered,2020_2022,-0.036835317902764286,-0.10180719388023192,0.1860764085156835,-0.31111572966409295,-0.11839747846415491,0.8934916358314896,0.023722627737226276,17.3298474582641,0.0,-0.20204569126687622
BTC,frictionless,unfiltered,2023_end,0.048611619983422116,0.5899698053269744,0.08669434925943127,-0.13859991034157637,0.3507334157981767,1.152926623175104,0.021917808219178082,16.01085844015511,0.0,-0.053416058021622304
BTC,frictionless,unfiltered,2020,-0.18982044018606148,-0.7548012770511178,0.23726105137575004,-0.31111572966409295,-0.6101280716054048,0.8098294459727625,0.0273224043715847,19.960387745728124,0.0,-0.20204569126687622
BTC,frictionless,unfiltered,2021,0.13107656061008632,1.604514997428432,0.07862264715725244,-0.08208706829947165,1.5967991466316014,1.1309812090011655,0.01643835616438356,12.008249172384629,0.0,-0.03295555434336328
BTC,frictionless,unfiltered,2022,-0.02448451130717766,-0.017001325566714704,0.20347121572573007,-0.14632989446223155,-0.16732405498657166,0.9755320407079106,0.0273972602739726,20.013698496987875,0.0,-0.13302994032882987
BTC,frictionless,unfiltered,2023,0.10398263052576628,1.4077646949087292,0.07199689218518115,-0.018094080923407696,5.746776029460966,1.1039078824646293,0.021917808219178082,16.010812934534627,0.0,-0.0036474951752196727
BTC,frictionless,unfiltered,2024,-0.07219901931229566,-0.6746097563467893,0.10307395615697294,-0.13859991034157637,-0.5209167822285223,0.9276582245720109,0.02459016393442623,17.96302690970472,0.0,-0.053416058021622304
BTC,frictionless,unfiltered,2025,0.12630917708610068,1.4911842626070992,0.08191228613703931,-0.04722707618577904,2.674507661436275,1.1258507828747257,0.019230769230769232,14.048009400859288,0.0,-0.030362644662636162
ETH,frictionless,unfiltered,full,0.13078534723441515,0.7677352664260679,0.18118858417554576,-0.2915066120447444,0.448653107101188,2.090296820721562,0.029666818804198997,21.67136689968417,0.0,-0.16485702570955652
ETH,frictionless,unfiltered,2020_2022,0.07866060147953813,0.47577383254584027,0.2027456405974014,-0.2915066120447444,0.26984156869643916,1.2550960337154322,0.032846715328467155,23.99418184398557,0.0,-0.16485702570955652
ETH,frictionless,unfiltered,2023_end,0.18548003820678516,1.159854527174326,0.15673310857362938,-0.15286160579288688,1.2133853837574702,1.6654477144140947,0.026484018264840183,19.346430663196184,0.0,-0.06908757048174907
ETH,frictionless,unfiltered,2020,0.17683778873694211,1.8188719564060345,0.09172419570797859,-0.07589812691752007,2.329936138333362,1.1772313364053488,0.02459016393442623,17.961989828350443,0.0,-0.01881565880938707
ETH,frictionless,unfiltered,2021,0.2994281534737899,1.4322987579185225,0.19588501978831255,-0.1554855054432035,1.925762485836125,1.2991952162498954,0.038356164383561646,28.01993265259776,0.0,-0.07929347055975944
ETH,frictionless,unfiltered,2022,-0.17949369491585465,-0.5717710243923118,0.2767017281557762,-0.2740933544933658,-0.6548633594113612,0.8206174171825182,0.03561643835616438,26.01714960447601,0.0,-0.16485702570955652
ETH,frictionless,unfiltered,2023,0.008109949946982775,0.23644186098164333,0.03704308560715487,-0.029598714619457178,0.2739966938176286,1.0081043765557844,0.021917808219178082,16.010922470474355,0.0,-0.025412416572220153
ETH,frictionless,unfiltered,2024,0.17190418427704923,1.0068542160849456,0.17143532739611525,-0.15286160579288688,1.1245739790929794,1.1722859694162353,0.02459016393442623,17.963216806040304,0.0,-0.06908757048174907
ETH,frictionless,unfiltered,2025,0.41092387897078386,1.75926664792806,0.20719978842287284,-0.10522860638067799,3.905058644264602,1.4092626294644781,0.03296703296703297,24.081916273258052,0.0,-0.06352432012539799
MIX,frictionless,unfiltered,full,0.07697268585031414,0.5771478607222132,0.14745709448133051,-0.22024589660236737,0.34948522100859325,1.5602135576279808,0.026964993426275754,19.71136233698231,0.0,-0.15164138903341395
MIX,frictionless,unfiltered,2020_2022,0.024169868851828147,0.22646555900333262,0.17420606144206574,-0.22024589660236737,0.1097403821123828,1.074293834773461,0.029097754088030267,21.285540413729265,0.0,-0.15164138903341395
MIX,frictionless,unfiltered,2023_end,0.13254983611931448,1.1410563313850148,0.11462984665566171,-0.13902473260759374,0.9534262978476278,1.4523154719183387,0.024830285037889498,18.13574665468581,0.0,-0.059155307614272123
MIX,frictionless,unfiltered,2020,-0.006456394305824342,0.013688169801341145,0.12563945965335943,-0.1609717794003669,-0.0401088583966391,0.9935303911890556,0.02549683760546718,18.683991370455868,0.0,-0.09922772749719067
MIX,frictionless,unfiltered,2021,0.2308143019883988,1.6103525446017093,0.13445287050885696,-0.12512052814048558,1.8447356754220223,1.2306393585211433,0.029661956171982053,21.6759921510672,0.0,-0.06039015371200829
MIX,frictionless,unfiltered,2022,-0.12143754309320542,-0.41703254313223814,0.2392568727058878,-0.2118719119835092,-0.573164899284325,0.8786403152293504,0.032144334011251344,23.503765251290147,0.0,-0.15164138903341395
MIX,frictionless,unfiltered,2023,0.04797794334105521,1.2641710034220062,0.03759863270890703,-0.018059321677108442,2.6566857935683643,1.0479443292959656,0.021959741887771066,16.043620965604884,0.0,-0.014853049682383768
MIX,frictionless,unfiltered,2024,0.0649870278780722,0.5669957965118447,0.12440185785722782,-0.13902473260759374,0.46744940025529325,1.0651247254282836,0.024594569600088507,17.962686785754972,0.0,-0.059155307614272123
MIX,frictionless,unfiltered,2025,0.30231150131383044,1.8311334154917163,0.15012056509970775,-0.07093089156574184,4.262056977440287,1.3011347794769215,0.02794572487313233,20.40763068914522,0.0,-0.05127506187616859
BTC,frictionless,constant,full,0.004960942957178194,0.11081616666466997,0.14515544945291883,-0.31111572966409295,0.015945651357886823,1.030130294534399,0.022820629849383843,16.670653950811186,0.0,-0.20204569126687622
BTC,frictionless,constant,2020_2022,-0.036835317902764286,-0.10180719388023192,0.1860764085156835,-0.31111572966409295,-0.11839747846415491,0.8934916358314896,0.023722627737226276,17.3298474582641,0.0,-0.20204569126687622
BTC,frictionless,constant,2023_end,0.048611619983422116,0.5899698053269744,0.08669434925943127,-0.13859991034157637,0.3507334157981767,1.152926623175104,0.021917808219178082,16.01085844015511,0.0,-0.053416058021622304
BTC,frictionless,constant,2020,-0.18982044018606148,-0.7548012770511178,0.23726105137575004,-0.31111572966409295,-0.6101280716054048,0.8098294459727625,0.0273224043715847,19.960387745728124,0.0,-0.20204569126687622
BTC,frictionless,constant,2021,0.13107656061008632,1.604514997428432,0.07862264715725244,-0.08208706829947165,1.5967991466316014,1.1309812090011655,0.01643835616438356,12.008249172384629,0.0,-0.03295555434336328
BTC,frictionless,constant,2022,-0.02448451130717766,-0.017001325566714704,0.20347121572573007,-0.14632989446223155,-0.16732405498657166,0.9755320407079106,0.0273972602739726,20.013698496987875,0.0,-0.13302994032882987
BTC,frictionless,constant,2023,0.10398263052576628,1.4077646949087292,0.07199689218518115,-0.018094080923407696,5.746776029460966,1.1039078824646293,0.021917808219178082,16.010812934534627,0.0,-0.0036474951752196727
BTC,frictionless,constant,2024,-0.07219901931229566,-0.6746097563467893,0.10307395615697294,-0.13859991034157637,-0.5209167822285223,0.9276582245720109,0.02459016393442623,17.96302690970472,0.0,-0.053416058021622304
BTC,frictionless,constant,2025,0.12630917708610068,1.4911842626070992,0.08191228613703931,-0.04722707618577904,2.674507661436275,1.1258507828747257,0.019230769230769232,14.048009400859288,0.0,-0.030362644662636162
ETH,frictionless,constant,full,0.13078534723441515,0.7677352664260679,0.18118858417554576,-0.2915066120447444,0.448653107101188,2.090296820721562,0.029666818804198997,21.67136689968417,0.0,-0.16485702570955652
ETH,frictionless,constant,2020_2022,0.07866060147953813,0.47577383254584027,0.2027456405974014,-0.2915066120447444,0.26984156869643916,1.2550960337154322,0.032846715328467155,23.99418184398557,0.0,-0.16485702570955652
ETH,frictionless,constant,2023_end,0.18548003820678516,1.159854527174326,0.15673310857362938,-0.15286160579288688,1.2133853837574702,1.6654477144140947,0.026484018264840183,19.346430663196184,0.0,-0.06908757048174907
