anchor_ordinal,anchor_timestamp,partition,return_trailing_24h,return_trailing_72h,return_trailing_168h,realized_volatility_trailing_24h,realized_volatility_trailing_168h,distance_from_mean_trailing_168h,range_position_trailing_168h,drawdown_from_high_trailing_168h
0,2018-01-08 00:00:00,1,-0.061870394526220347,0.059165276601460814,0.16164623991221885,0.04866014636085976,0.14389276521558372,0.05301506709564574,0.71833724840172819,-0.065986938409812623
1,2018-01-15 00:00:00,1,-0.038061713575013562,0.044683531465174856,-0.15117132137774064,0.048759087968398708,0.18303203937195389,-0.035875477478206297,0.21394818543789815,-0.1402995990151954
2,2018-01-22 00:00:00,1,-0.05497234130363423,0.013455502601525737,-0.16009010905396923,0.075951722727650633,0.29238159840061617,-0.023696352575818036,0.48634636053684877,-0.17269782900784958
3,2018-01-29 00:00:00,1,0.01642429751072368,0.016258270518592341,-0.016275150374167512,0.039864561173611562,0.1846816974238408,0.037533195094668237,0.86395060288581804,-0.017916382252559648
4,2018-02-12 00:00:00,1,-0.026807436328142076,0.034332906335416663,-0.0016406614593677644,0.071388379969935176,0.30071178099752305,0.031448894393495852,0.72862581876420562,-0.093841716789057061
5,2018-02-19 00:00:00,1,-0.066094430579491978,0.020540934037665059,0.24118296945851098,0.083445302590125225,0.15385450632741496,0.081091689445534465,0.73530195250451402,-0.07162045881870327
6,2018-02-26 00:00:00,1,-0.0045772287001253848,-0.0082862246935784794,-0.083951695548793795,0.038414948102874491,0.14144049103813544,-0.078624827079152859,0.088381363952329317,-0.18496176720475788
7,2018-03-05 00:00:00,1,0.0083411804924117244,0.03925418423631246,0.17685824278619658,0.029949903969485627,0.10734212983983914,0.064441557035918473,0.98056021184073061,-0.0034824948276117595
8,2018-03-12 00:00:00,1,0.11721233479680383,0.022218310038142359,-0.17709490166438088,0.07293071050320496,0.18216431134114641,-0.037955220907091358,0.34785783758789479,-0.17575317448381067
9,2018-03-19 00:00:00,1,0.072994595064456533,0.028592929169228391,-0.14454390179653145,0.095102175411060363,0.19256056539815555,-0.023286671873728348,0.37787229565118835,-0.15627201449182559
10,2018-03-26 00:00:00,1,-0.021030584365464046,-0.031996352830853933,0.008400779340289169,0.036238535052252052,0.12126604812022868,-0.033581890070819576,0.20634389533911077,-0.078356236786469413
11,2018-04-02 00:00:00,1,-0.00098591325510960872,0.02463746021007502,-0.18088889179245884,0.070813958863999937,0.16553003671287908,-0.06393250624011948,0.26615888241030033,-0.17435476149668139
12,2018-04-09 00:00:00,1,0.012946461963785877,0.035066414161665151,0.0099871842531818068,0.023554297937190924,0.11246292870492125,0.014496550572361544,0.56648742301150423,-0.0549664722602492
13,2018-04-16 00:00:00,1,0.037486275439596838,0.059847552094953023,0.1720957375318847,0.0286757073394318,0.14362542495430278,0.12491538729470886,1,0
