observations,ce,annualized_mean,annualized_volatility,turnover,average_exposure,average_cash,cagr,maximum_drawdown,worst_21_session_return,longest_underwater_calendar_days,longest_recovered_episode_days,terminal_unrecovered_days,scenario,level,financing_per_initial_dollar,fees_per_initial_dollar,max_gross,average_debt_to_equity,margin_breaches,first_breach,gap10_equity_loss,gap20_equity_loss
1740,0.0566752855793181,0.0663778736800868,0.08042631451943531,24.3720252521253,0.5966462943492942,0.4033537056507059,0.06516592697943246,-0.09643190050887507,-0.08651862712572811,838,838,20,cost25,1.5x,8.479987477669072e-17,0.07552010419232541,1.0000000000000004,1.239333913904783e-16,0,,0.09312196889701514,0.18624393779403028
1740,0.04686746059893174,0.05119537775595082,0.05371478478668039,16.874450861748812,0.39813517407674115,0.6018648259232591,0.05100466050581676,-0.05968308673550449,-0.058156033695347054,751,751,20,cost25,1x,6.285775438098145e-17,0.04953240768251224,1.0000000000000004,9.743725972343136e-17,0,,0.06232867145072715,0.1246573429014543
1740,0.06457662049889641,0.0914257337441941,0.13378867227907773,33.168859324213884,0.993123300278978,0.12157667178774886,0.08592878667251624,-0.1793730630291056,-0.14151390670081687,1029,457,1029,cost25,2.5x,0.08099189066583883,0.11231725942316984,1.589357118195259,0.11469997206672691,0,,0.15893571181952593,0.31787142363905185
1740,0.06391490162203206,0.08112420811786564,0.10711148863321053,29.858165004183398,0.794887794647666,0.22282102383464902,0.07827590300801468,-0.13613965975388642,-0.11429897769003339,937,449,937,cost25,2x,0.01144263420479098,0.09823238738501297,1.254078507415318,0.017708818482314967,0,,0.1254078507415318,0.2508157014830636
1740,0.06565928552502742,0.08226120699454849,0.10520431382004913,29.699130811228258,0.7771789761653511,0.22282102383464902,0.07972152732218052,-0.13613965975388387,-0.11429897769003383,937,449,937,cost25,2x_cashcap,7.18984054446054e-17,0.09845151793300845,1.0000000000000007,1.0174099209361406e-16,0,,0.10000000000000005,0.2000000000000001
1740,0.06089197096654433,0.09949654288706405,0.1604256253855552,36.50931614353995,1.1913328281910502,0.06750605054461492,0.09042275164201596,-0.22150331566780923,-0.1682704133720041,1029,460,1029,cost25,3x,0.18888414846494622,0.12539868997867026,1.9352143557863821,0.2588388787356652,0,,0.1935214355786382,0.3870428711572764
1740,0.04307924510725002,0.11157045008181384,0.2136838864219197,45.92779057896181,1.587761485148857,0.031432222608315144,0.09265051863542184,-0.3038154115662929,-0.2214195694561154,1029,672,1029,cost25,4x,0.464266782817673,0.15892165371061262,2.6582991812394248,0.6191937077571726,0,,0.26582991812394247,0.5316598362478849
1740,0.05981796424245238,0.06946609805879565,0.08020030680050742,24.426976920813537,0.5965974368793998,0.40340256312060013,0.06847904923958725,-0.09402406166206956,-0.08891442850611919,769,769,20,delay1,1.5x,7.533037922499116e-17,0.030636067561756204,1.0000000000000007,1.1348296181762376e-16,0,,0.09310258545765082,0.18620517091530164
1740,0.04916310969554589,0.05346287063834365,0.05353977302154455,16.903688424158798,0.39814809037924165,0.6018519096207584,0.053399936439941564,-0.06112550631588087,-0.0597968199296226,659,659,20,delay1,1x,6.305985801296662e-17,0.020016544131977836,1.0000000000000004,9.764414439870888e-17,0,,0.06210525781258267,0.12421051562516534
1740,0.06779618727819947,0.0945300997658724,0.13350134203488476,33.268018248886456,0.9928164311532003,0.12192247734586338,0.08934525876084076,-0.17143791212945803,-0.14529108439471083,937,450,937,delay1,2.5x,0.08197379112593398,0.04556811392932858,1.6005884613971988,0.11473890849906357,0,,0.16005884613971988,0.32011769227943976
1740,0.06737636233433236,0.08450041803459767,0.10684585688509501,29.940644131736786,0.794732297499589,0.22299284260433241,0.08195205951163365,-0.13043420071638434,-0.11740870938487702,937,447,937,delay1,2x,0.011618220663700435,0.03990162772886412,1.257152688667052,0.017725140103921334,0,,0.12571526886670523,0.25143053773341045
1740,0.0693180639875451,0.08583331165472839,0.10492933389408098,29.798349305185226,0.7770071573956677,0.22299284260433241,0.08361531289231028,-0.13043420071638578,-0.11740870938487724,937,447,937,delay1,2x_cashcap,7.17749987509539e-17,0.04005545512873521,1.0000000000000004,9.829909483576035e-17,0,,0.10000000000000003,0.20000000000000007
1740,0.06377957909645218,0.10224878956343074,0.16014412356161883,36.64258507310516,1.190829714449492,0.06801598187898292,0.09347481664817558,-0.2129279149489376,-0.17278467215264148,937,457,937,delay1,3x,0.190792087095009,0.05083322801112395,1.9570053304993296,0.2588456963284751,0,,0.19570053304993296,0.3914010660998659
1740,0.04559085166473906,0.11393959182802298,0.21346153465091225,46.11806759026896,1.586719474580262,0.03198840974042835,0.09528808244078735,-0.29873721153875354,-0.22745529388846608,1029,671,1029,delay1,4x,0.46828389998061626,0.06431955626636847,2.711841939815037,0.6187078843206902,0,,0.27118419398150373,0.5423683879630075
1740,0.09408567564428003,0.13295918933643197,0.16098346435198854,24.52322269745828,0.5968491151352768,0.40315088486472334,0.1274057953931158,-0.21404045366486502,-0.1676533053195246,1029,439,1029,double_moves,1.5x,1.0213156624541843e-16,0.03848257453568766,1.0000000000000004,1.1721129769504973e-16,0,,0.09316582355590632,0.18633164711181263
1740,0.07776786887918455,0.09517572912965955,0.1077276202604668,16.964248379628465,0.3986568162066532,0.601343183793347,0.09345406988000238,-0.14229915407388782,-0.1139821914081931,933,933,20,double_moves,1x,7.554585104338293e-17,0.023304874283370636,1.0000000000000004,1.0417952943881056e-16,0,,0.06267231621882212,0.12534463243764424
