date,ticker,action,weekday,actual_start,actual_end,range_status
2023-10-18,LULU,add,Wednesday,2019-01-02,2026-08-28,WITHIN_RECORDED_RANGE_ONLY
2023-10-18,OGN,remove,Wednesday,2021-05-14,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2023-12-18,ALK,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2023-12-18,BLDR,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2023-12-18,JBL,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2023-12-18,SEDG,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2023-12-18,SEE,remove,Monday,,,MISSING_MANIFEST
2023-12-18,UBER,add,Monday,2019-05-10,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2024-02-01,CDAY,remove,Thursday,,,MISSING_MANIFEST
2024-02-01,DAY,add,Thursday,,,MISSING_MANIFEST
2024-03-04,DOC,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2024-03-04,PEAK,remove,Monday,,,MISSING_MANIFEST
2024-03-18,DECK,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2024-03-18,SMCI,add,Monday,2019-01-02,2026-08-28,WITHIN_RECORDED_RANGE_ONLY
2024-03-18,WHR,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2024-03-18,ZION,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2024-03-25,CPAY,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2024-03-25,FLT,remove,Monday,,,MISSING_MANIFEST
2024-04-01,SOLV,add,Monday,2024-03-26,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2024-04-01,VFC,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2024-04-02,GEV,add,Tuesday,2024-03-27,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2024-04-02,XRAY,remove,Tuesday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2024-05-08,PXD,remove,Wednesday,,,MISSING_MANIFEST
2024-05-08,VST,add,Wednesday,2019-01-02,2026-08-28,WITHIN_RECORDED_RANGE_ONLY
2024-06-24,CMA,remove,Monday,,,MISSING_MANIFEST
2024-06-24,CRWD,add,Monday,2019-06-12,2026-08-28,WITHIN_RECORDED_RANGE_ONLY
2024-06-24,GDDY,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2024-06-24,ILMN,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2024-06-24,KKR,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2024-06-24,RHI,remove,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2024-07-08,SW,add,Monday,2019-01-02,2026-08-27,WITHIN_RECORDED_RANGE_ONLY
2024-07-08,WRK,remove,Monday,,,MISSING_MANIFEST
2024-09-23,AAL,remove,Monday,2019-01-02,2026-08-28,WITHIN_RECORDED_RANGE_ONLY
