ticker,first_event,last_event,adds,removes,root_price_in_inventory,manifest_present,actual_start,actual_end,auto_adjust,coverage_status,identity_status,sample_rows_through_cutoff,other_inventory_matches
PAYC,2020-01-28,2020-01-28,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
PBCT,2022-04-04,2022-04-04,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
PCG,2019-01-18,2022-10-03,1,1,True,True,2019-01-02,2026-08-28,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
PEAK,2019-11-05,2024-03-04,1,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
PENN,2021-03-22,2022-09-19,1,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
PKI,2023-05-16,2023-05-16,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
PLTR,2024-09-23,2024-09-23,1,0,True,True,2020-09-30,2026-08-28,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
PODD,2023-03-15,2023-03-15,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
POOL,2020-10-07,2020-10-07,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
PRGO,2021-09-20,2021-09-20,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
PTC,2021-04-20,2021-04-20,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
PVH,2022-09-19,2022-09-19,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
PXD,2024-05-08,2024-05-08,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
QRVO,2024-12-23,2024-12-23,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
RE,2023-07-10,2023-07-10,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
RHI,2024-06-24,2024-06-24,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
RHT,2019-07-15,2019-07-15,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
RTN,2020-04-06,2020-04-06,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
RTX,2020-04-03,2020-04-03,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
RVTY,2023-05-16,2023-05-16,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
SBNY,2021-12-20,2023-03-15,1,1,True,True,2024-08-15,2026-08-27,False,STARTS_AFTER_EVENT,UNVERIFIED,96,
SEDG,2021-12-20,2023-12-18,1,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
SEE,2023-12-18,2023-12-18,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
SIVB,2023-03-15,2023-03-15,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
SLG,2021-03-22,2021-03-22,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
SMCI,2024-03-18,2024-03-18,1,0,True,True,2019-01-02,2026-08-28,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,1510,
SOLV,2024-04-01,2024-04-01,1,0,True,True,2024-03-26,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
STE,2019-12-23,2019-12-23,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
STI,2019-12-09,2019-12-09,0,1,True,True,2022-05-02,2026-08-27,False,STARTS_AFTER_EVENT,UNVERIFIED,,
STLD,2022-12-22,2022-12-22,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
SW,2024-07-08,2024-07-08,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
