ticker,first_event,last_event,adds,removes,root_price_in_inventory,manifest_present,actual_start,actual_end,auto_adjust,coverage_status,identity_status,sample_rows_through_cutoff,other_inventory_matches
DOW,2019-04-02,2019-04-02,1,0,True,True,2019-03-20,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
DPZ,2020-05-12,2020-05-12,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
DRE,2022-10-03,2022-10-03,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
DWDP,2019-06-03,2019-06-03,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
DXC,2023-10-02,2023-10-02,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
DXCM,2020-05-12,2020-05-12,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
EG,2023-07-10,2023-07-10,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
ELV,2022-06-28,2022-06-28,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
ENPH,2021-01-07,2021-01-07,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
EPAM,2021-12-14,2021-12-14,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
EQT,2022-10-03,2022-10-03,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
ERIE,2024-09-23,2024-09-23,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
ETFC,2020-10-07,2020-10-07,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
ETSY,2020-09-21,2024-09-23,1,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
FB,2022-06-09,2022-06-09,0,1,True,True,2025-06-26,2026-08-27,False,NO_PRE2025_RANGE,UNVERIFIED,0,
FBHS,2022-12-19,2022-12-19,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
FDS,2021-12-20,2021-12-20,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
FI,2023-06-07,2023-06-07,1,0,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
FICO,2023-03-20,2023-03-20,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
FISV,2023-06-07,2023-06-07,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
FL,2019-08-09,2019-08-09,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
FLIR,2021-05-14,2021-05-14,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
FLR,2019-06-03,2019-06-03,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
FLS,2021-03-22,2021-03-22,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
FLT,2024-03-25,2024-03-25,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
FRC,2023-05-04,2023-05-04,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
FSLR,2022-12-19,2022-12-19,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
FTI,2021-02-12,2021-02-12,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
GDDY,2024-06-24,2024-06-24,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
GEHC,2023-01-04,2023-01-04,1,0,True,True,2022-12-15,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
GEN,2022-11-08,2022-11-08,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
GEV,2024-04-02,2024-04-02,1,0,True,True,2024-03-27,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
GL,2019-08-08,2019-08-08,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
GNRC,2021-03-22,2021-03-22,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
GPS,2022-02-02,2022-02-02,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
GT,2019-02-27,2019-02-27,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
HBI,2021-12-20,2021-12-20,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
HCP,2019-11-05,2019-11-05,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
HFC,2021-06-04,2021-06-04,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
HOG,2020-06-22,2020-06-22,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
HP,2020-05-22,2020-05-22,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
HRB,2020-09-21,2020-09-21,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
HRS,2019-06-01,2019-06-01,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
HUBB,2023-10-18,2023-10-18,1,0,True,True,2019-01-02,2026-08-28,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
HWM,2020-04-06,2020-04-06,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
IEX,2019-08-09,2019-08-09,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
ILMN,2024-06-24,2024-06-24,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
INFO,2022-03-02,2022-03-02,0,1,True,True,2024-10-10,2026-08-27,False,STARTS_AFTER_EVENT,UNVERIFIED,,
INVH,2022-09-19,2022-09-19,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
IPGP,2022-06-21,2022-06-21,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
J,2019-12-10,2019-12-10,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
JBL,2023-12-18,2023-12-18,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
JEC,2019-12-10,2019-12-10,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
JEF,2019-09-26,2019-09-26,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
JWN,2020-06-22,2020-06-22,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
KDP,2022-06-21,2022-06-21,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
KKR,2024-06-24,2024-06-24,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
KSS,2020-09-21,2020-09-21,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
