descriptor,candidate_value,horizon_hours,fold_id,train_family_support,test_family_support,direction_comparison_supported,training_direction,test_direction,aggregate_family_direction,training_test_direction_agree,test_aggregate_direction_agree
feature_displacement,CONCENTRATED_SHIFT,72,0,0,0,False,,,0,False,False
feature_displacement,CONCENTRATED_SHIFT,72,1,0,0,False,,,0,False,False
feature_displacement,CONCENTRATED_SHIFT,72,2,0,0,False,,,0,False,False
feature_displacement,CONCENTRATED_SHIFT,168,0,0,0,False,,,0,False,False
feature_displacement,CONCENTRATED_SHIFT,168,1,0,0,False,,,0,False,False
feature_displacement,CONCENTRATED_SHIFT,168,2,0,0,False,,,0,False,False
feature_displacement,LOW_DISPLACEMENT_COLLAPSE,2,0,4,3,True,1,-1,1,False,False
feature_displacement,LOW_DISPLACEMENT_COLLAPSE,2,1,7,2,True,1,-1,1,False,False
feature_displacement,LOW_DISPLACEMENT_COLLAPSE,2,2,9,2,True,-1,1,1,False,True
feature_displacement,LOW_DISPLACEMENT_COLLAPSE,6,0,4,3,True,1,1,1,True,True
feature_displacement,LOW_DISPLACEMENT_COLLAPSE,6,1,7,2,True,1,-1,1,False,False
feature_displacement,LOW_DISPLACEMENT_COLLAPSE,6,2,9,2,True,1,1,1,True,True
feature_displacement,LOW_DISPLACEMENT_COLLAPSE,24,0,4,3,True,1,1,1,True,True
feature_displacement,LOW_DISPLACEMENT_COLLAPSE,24,1,7,2,True,1,1,1,True,True
feature_displacement,LOW_DISPLACEMENT_COLLAPSE,24,2,9,2,True,1,1,1,True,True
feature_displacement,LOW_DISPLACEMENT_COLLAPSE,72,0,4,3,True,1,1,1,True,True
feature_displacement,LOW_DISPLACEMENT_COLLAPSE,72,1,7,2,True,1,1,1,True,True
feature_displacement,LOW_DISPLACEMENT_COLLAPSE,72,2,9,2,True,1,-1,1,False,False
feature_displacement,LOW_DISPLACEMENT_COLLAPSE,168,0,4,3,True,1,-1,1,False,False
feature_displacement,LOW_DISPLACEMENT_COLLAPSE,168,1,7,2,True,1,1,1,True,True
feature_displacement,LOW_DISPLACEMENT_COLLAPSE,168,2,9,2,True,1,-1,1,False,False
intrinsic_subtype,MAJOR_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_NEUTRAL,2,0,0,0,False,,,0,False,False
intrinsic_subtype,MAJOR_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_NEUTRAL,2,1,0,0,False,,,0,False,False
intrinsic_subtype,MAJOR_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_NEUTRAL,2,2,0,0,False,,,0,False,False
intrinsic_subtype,MAJOR_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_NEUTRAL,6,0,0,0,False,,,0,False,False
intrinsic_subtype,MAJOR_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_NEUTRAL,6,1,0,0,False,,,0,False,False
