descriptor,candidate_value,horizon_hours,episode_support,unavailable_episode_count,family_support,mixed_family_count,unavailable_homogeneous_family_count,supported_fold_count,episode_mean_forward_return,episode_median_forward_return,family_mean_forward_return,family_median_forward_return,episode_positive_return_rate,family_positive_return_rate,family_mean_maximum_favorable_excursion,family_mean_maximum_adverse_excursion,family_mean_realized_volatility,training_test_direction_agreement_count,aggregate_direction_agreement_count,episode_family_median_sign_agreement,episode_family_median_absolute_divergence,evidence_state
collapse_severity,MAJOR_COLLAPSE,2,10,0,0,5,0,0,0.0034738206540089302,0.0015833051026609146,0,0,0.59999999999999998,0,0,0,0,0,0,False,0.0015833051026609146,INSUFFICIENT_SUPPORT
feature_displacement,BROAD_SHIFT,2,6,0,0,3,0,0,0.0026460995072451108,-8.0591559167675353e-05,0,0,0.5,0,0,0,0,0,0,False,8.0591559167675353e-05,INSUFFICIENT_SUPPORT
feature_displacement,CONCENTRATED_SHIFT,2,5,0,0,3,0,0,-0.0013919309876678331,-1.4200821971566135e-05,0,0,0.40000000000000002,0,0,0,0,0,0,False,1.4200821971566135e-05,INSUFFICIENT_SUPPORT
intrinsic_subtype,MAJOR_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_NEUTRAL,2,1,0,0,6,0,0,0.0022777924723493825,0.0022777924723493825,0,0,1,0,0,0,0,0,0,False,0.0022777924723493825,INSUFFICIENT_SUPPORT
intrinsic_subtype,MAJOR_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,2,9,0,0,6,0,0,0.0036067126741933242,0.00088881773297244671,0,0,0.55555555555555558,0,0,0,0,0,0,False,0.00088881773297244671,INSUFFICIENT_SUPPORT
intrinsic_subtype,MODERATE_COLLAPSE__BROAD_SHIFT__VOLATILITY_EXPANSION,2,2,0,0,6,0,0,0.00639244231338848,0.00639244231338848,0,0,0.5,0,0,0,0,0,0,False,0.00639244231338848,INSUFFICIENT_SUPPORT
intrinsic_subtype,MODERATE_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_NEUTRAL,2,1,0,0,6,0,0,-5.9993788234402601e-05,-5.9993788234402601e-05,0,0,0,0,0,0,0,0,0,False,5.9993788234402601e-05,INSUFFICIENT_SUPPORT
intrinsic_subtype,MODERATE_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_EXPANSION,2,1,0,0,6,0,0,-0.0076360430009130287,-0.0076360430009130287,0,0,0,0,0,0,0,0,0,False,0.0076360430009130287,INSUFFICIENT_SUPPORT
intrinsic_subtype,SEVERE_COLLAPSE__BROAD_SHIFT__VOLATILITY_EXPANSION,2,4,0,0,6,0,0,0.00077292810417342594,-8.0591559167675353e-05,0,0,0.5,0,0,0,0,0,0,False,8.0591559167675353e-05,INSUFFICIENT_SUPPORT
intrinsic_subtype,SEVERE_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_EXPANSION,2,1,0,0,6,0,0,-0.010724889105355073,-0.010724889105355073,0,0,0,0,0,0,0,0,0,False,0.010724889105355073,INSUFFICIENT_SUPPORT
intrinsic_subtype,SEVERE_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_NEUTRAL,2,2,0,0,6,0,0,0.00077371774145046368,0.00077371774145046368,0,0,0.5,0,0,0,0,0,0,False,0.00077371774145046368,INSUFFICIENT_SUPPORT
volatility_state,VOLATILITY_EXPANSION,2,8,0,0,2,0,0,-0.00031054188284967976,-0.0048916911407998476,0,0,0.375,0,0,0,0,0,0,False,0.0048916911407998476,INSUFFICIENT_SUPPORT
collapse_severity,MAJOR_COLLAPSE,6,10,0,0,5,0,0,0.0033980303101216248,0.0010222702722201271,0,0,0.59999999999999998,0,0,0,0,0,0,False,0.0010222702722201271,INSUFFICIENT_SUPPORT
feature_displacement,BROAD_SHIFT,6,6,0,0,3,0,0,-0.003765712000842155,-0.006576668753610182,0,0,0.33333333333333331,0,0,0,0,0,0,False,0.006576668753610182,INSUFFICIENT_SUPPORT
feature_displacement,CONCENTRATED_SHIFT,6,5,0,0,3,0,0,-0.00013533816523798593,-0.006861394174080937,0,0,0.20000000000000001,0,0,0,0,0,0,False,0.006861394174080937,INSUFFICIENT_SUPPORT
intrinsic_subtype,MAJOR_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_NEUTRAL,6,1,0,0,6,0,0,-0.006861394174080937,-0.006861394174080937,0,0,0,0,0,0,0,0,0,False,0.006861394174080937,INSUFFICIENT_SUPPORT
intrinsic_subtype,MAJOR_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,6,9,0,0,6,0,0,0.0045379663639219091,0.0013634162703664021,0,0,0.66666666666666663,0,0,0,0,0,0,False,0.0013634162703664021,INSUFFICIENT_SUPPORT
intrinsic_subtype,MODERATE_COLLAPSE__BROAD_SHIFT__VOLATILITY_EXPANSION,6,2,0,0,6,0,0,0.0051029872506818674,0.0051029872506818674,0,0,0.5,0,0,0,0,0,0,False,0.0051029872506818674,INSUFFICIENT_SUPPORT
intrinsic_subtype,MODERATE_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_NEUTRAL,6,1,0,0,6,0,0,-0.02102727538758109,-0.02102727538758109,0,0,0,0,0,0,0,0,0,False,0.02102727538758109,INSUFFICIENT_SUPPORT
intrinsic_subtype,MODERATE_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_EXPANSION,6,1,0,0,6,0,0,-0.0030002207534404191,-0.0030002207534404191,0,0,0,0,0,0,0,0,0,False,0.0030002207534404191,INSUFFICIENT_SUPPORT
intrinsic_subtype,SEVERE_COLLAPSE__BROAD_SHIFT__VOLATILITY_EXPANSION,6,4,0,0,6,0,0,-0.0082000616266041659,-0.011290059382603523,0,0,0.25,0,0,0,0,0,0,False,0.011290059382603523,INSUFFICIENT_SUPPORT
intrinsic_subtype,SEVERE_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_EXPANSION,6,1,0,0,6,0,0,-0.0011593013808062214,-0.0011593013808062214,0,0,0,0,0,0,0,0,0,False,0.0011593013808062214,INSUFFICIENT_SUPPORT
