timestamp,open,high,low,close,volume
2026-01-01 00:00:00,87497.95,87699.01,87456.1,87650.01,266.25995143
2026-01-01 01:00:00,87650.0,87897.99,87642.2,87796.09,219.63371681
2026-01-01 02:00:00,87796.09,87950.53,87666.89,87753.11,243.68820504
2026-01-01 03:00:00,87754.42,87865.39,87667.26,87696.53,131.41610393
2026-01-01 04:00:00,87696.53,87704.0,87361.74,87418.55,687.39856013
2026-01-01 05:00:00,87418.55,87580.49,87416.03,87534.01,204.04216989
2026-01-01 06:00:00,87534.02,87536.03,87460.25,87493.28,115.26687976
2026-01-01 07:00:00,87491.71,87523.23,87437.99,87471.99,119.25786345
2026-01-01 08:00:00,87471.98,87652.77,87466.37,87617.55,206.72778058
2026-01-01 09:00:00,87617.54,87818.28,87596.3,87744.0,58.13172352
2026-01-01 10:00:00,87743.99,87751.15,87650.75,87723.72,24.03597334
2026-01-01 11:00:00,87723.71,87889.19,87714.45,87883.74,73.14068907
2026-01-01 12:00:00,87883.75,87913.96,87750.01,87812.44,64.92016849
2026-01-01 13:00:00,87812.44,87897.9,87734.01,87792.65,95.14108278
2026-01-01 14:00:00,87792.65,87865.96,87694.66,87844.0,104.13415004
2026-01-01 15:00:00,87844.0,88000.0,87806.0,87915.23,105.93154971
2026-01-01 16:00:00,87915.24,87936.02,87761.06,87878.48,89.72776277
2026-01-01 17:00:00,87879.99,88398.0,87843.72,88199.49,251.80495386
2026-01-01 18:00:00,88199.5,88276.04,87984.38,88073.44,161.15814085
2026-01-01 19:00:00,88073.44,88315.4,87943.57,88275.99,111.642176
2026-01-01 20:00:00,88276.0,88276.0,88126.82,88144.99,97.01561507
2026-01-01 21:00:00,88144.99,88335.58,88138.63,88278.0,81.89027589
2026-01-01 22:00:00,88278.0,88581.21,88277.99,88528.02,128.28911853
2026-01-01 23:00:00,88528.01,88798.99,88325.58,88738.34,357.72172474
2026-01-02 00:00:00,88742.0,88787.85,88475.14,88734.11,325.02849173
2026-01-02 01:00:00,88734.11,88778.97,88387.4,88542.3,143.23384063
