year,model,slope,inner_rows
2018,ridge100,0.0,800
2018,gbm2,0.0,800
2019,ridge100,0.0,792
2019,gbm2,0.0,792
2020,ridge100,0.0,800
2020,gbm2,0.0,800
2021,ridge100,1.0,800
2021,gbm2,1.0,800
2022,ridge100,1.0,800
2022,gbm2,1.0,800
2023,ridge100,0.0,800
2023,gbm2,0.31811909937304395,800
2024,ridge100,0.0,792
2024,gbm2,0.2676959558657846,792
