anchor_ordinal,timestamp,bar_index,current_regime,trailing_log_return_24h,trailing_log_return_72h,trailing_log_return_168h,realized_volatility_24h,realized_volatility_168h,distance_from_close_mean_168h,log1p_current_state_age_hours,log1p_previous_state_duration_hours,log1p_hours_since_previous_transition,transition_count_trailing_24h,transition_count_trailing_72h,transition_count_trailing_168h,outcome_R_24h,outcome_R_72h,outcome_R_168h,outcome_M_24h,outcome_M_72h,outcome_M_168h,outcome_V_24h,outcome_V_72h,outcome_V_168h,outcome_S_24h,outcome_S_72h,outcome_S_168h,partition
13,2018-04-16 00:00:00,2517,VOL_COMPRESSION,0.037486275439596838,0.059847552094953023,0.1720957375318847,0.0286757073394318,0.14362542495430278,1.5351732645081342,3.5835189384561099,0.69314718055994529,3.5835189384561099,0,5,10,-0.041055713158888493,-0.028021416605596837,0.051173955524708242,0.041055713158888493,0.028021416605596837,0.051173955524708242,0.035153300302034216,0.057530313538832201,0.082105997918880069,1,1,1,1
14,2018-04-23 00:00:00,2685,VOL_COMPRESSION,-0.0016992357529598016,0.054765121586571701,0.051173955524708242,0.022751237201155024,0.082105997918880069,1.3081325574812241,5.3181199938442161,0.69314718055994529,5.3181199938442161,0,0,0,0.040005334613699206,-0.0014988551486793669,0.06392715231694418,0.040005334613699206,0.0014988551486793669,0.06392715231694418,0.030845554767627941,0.078888375672868008,0.10490305176271444,1,0,0,1
15,2018-04-30 00:00:00,2853,VOL_COMPRESSION,0.0027947229486551205,0.018618909543354017,0.06392715231694418,0.023663314572897158,0.10490305176271444,1.1202684287022511,3.4965075614664802,1.0986122886681098,3.4965075614664802,0,8,12,-0.047174835199778081,-0.027195143048214195,0.0044316557604204866,0.047174835199778081,0.027195143048214195,0.0044316557604204866,0.039147759805522049,0.04844473856086226,0.072951889782780985,1,1,0,1
16,2018-05-07 00:00:00,3021,VOL_COMPRESSION,-0.044120188520038239,-0.015341253551606078,0.0044316557604204866,0.030448699535149656,0.072951889782780985,0.13528999132160224,4.2766661190160553,0.69314718055994529,4.2766661190160553,0,1,2,-0.0072349111595846937,-0.014472054218172182,,0.0072349111595846937,0.014472054218172182,,0.025258144087672553,0.042486102881440044,,1,1,,1
17,2018-05-21 00:00:00,3356,VOL_COMPRESSION,0.032915730305466011,0.063332485120291035,-0.023928496893990795,0.021298775025886188,0.085550835523386604,0.57620101080452313,4.6051701859880918,2.1972245773362196,4.6051701859880918,0,0,12,-0.013256790225062227,-0.11094922040632524,-0.14149405905049808,0.013256790225062227,0.11094922040632524,0.14149405905049808,0.016398448563759476,0.049962384778507354,0.078948156999759878,1,0,0,1
18,2018-05-28 00:00:00,3524,VOL_COMPRESSION,0.013646096196504516,-0.026483868392567299,-0.14149405905049808,0.014852881582288185,0.078948156999759878,-0.97248335385395135,4.0775374439057197,1.6094379124341003,4.0775374439057197,0,4,8,-0.032018048001608471,,,0.032018048001608471,,,0.026419263719701363,,,1,,,1
19,2018-06-18 00:00:00,4026,VOL_COMPRESSION,-0.015862308612585904,-0.033096063063221215,-0.049633784571875214,0.016490492438034677,0.083749864868569501,-1.0815519382485557,4.2766661190160553,1.9459101490553132,4.2766661190160553,0,1,10,0.047270060153397429,0.053652212444457198,-0.03738150952924417,0.047270060153397429,0.053652212444457198,0.03738150952924417,0.032362622211303267,0.042330130251075217,0.11214654933511904,1,1,0,1
20,2018-06-25 00:00:00,4194,VOL_COMPRESSION,0.0060952055589112925,-0.085769419597840388,-0.03738150952924417,0.081465944908974991,0.11214654933511904,-0.97108263524120531,0,1.6094379124341003,0,5,7,7,0.0037501520227434231,-0.0044673753378208017,0.027024350040192983,0.0037501520227434231,0.0044673753378208017,0.027024350040192983,0.035233187493440732,0.044493485719038002,0.085311948381592062,0,0,0,1
21,2018-07-02 00:00:00,4362,VOL_COMPRESSION,-0.0041720846127254749,0.073598396364530472,0.027024350040192983,0.01383170950107861,0.085311948381592062,1.0598498115576369,3.7612001156935624,1.791759469228055,3.7612001156935624,0,4,7,0.042216808961084464,0.035046382683255259,0.056952332638054284,0.042216808961084464,0.035046382683255259,0.056952332638054284,0.041810757858605871,0.057400939665563554,0.071346377074992737,1,1,1,1
22,2018-07-09 00:00:00,4530,VOL_COMPRESSION,-0.0047324715492650868,0.026657814899174733,0.056952332638054284,0.0079462542231051488,0.071346377074992737,1.2158968152303824,5.3518581334760666,1.791759469228055,5.3518581334760666,0,0,0,-0.0065745001491506845,-0.049636725886968623,-0.054544568645780375,0.0065745001491506845,0.049636725886968623,0.054544568645780375,0.01006570924066354,0.037452075349638597,0.051935065594757253,1,1,1,1
23,2018-07-16 00:00:00,4698,VOL_COMPRESSION,0.016455647722527333,0.017988001578128528,-0.054544568645780375,0.012775977343130579,0.051935065594757253,-0.065428794379887564,5.9375362050824263,1.791759469228055,5.9375362050824263,0,0,0,0.058535123344727241,0.14494130695004709,0.16104021239102545,0.058535123344727241,0.14494130695004709,0.16104021239102545,0.030979921334577571,0.078779540040349996,0.092675829158034212,1,0,0,1
24,2018-07-23 00:00:00,4866,VOL_COMPRESSION,0.0042951222684061941,0.0079292743192003624,0.16104021239102545,0.024806141231886989,0.092675829158034212,0.73830173837853075,3.970291913552122,1.3862943611198906,3.970291913552122,0,2,8,0.032428063795294414,0.097090604479477857,0.089154045196071938,0.032428063795294414,0.097090604479477857,0.089154045196071938,0.02277764911219287,0.053606388499806659,0.081292982077314196,1,0,0,1
25,2018-07-30 00:00:00,5034,VOL_COMPRESSION,-0.011195672352233016,0.033308421324238585,0.089154045196071938,0.014081614484683185,0.081292982077314196,0.34961153339091278,4.0253516907351496,1.0986122886681098,4.0253516907351496,0,2,4,-0.0042885946548413979,-0.061454393064731126,-0.14715458061549061,0.0042885946548413979,0.061454393064731126,0.14715458061549061,0.037711251479494737,0.059383854288116683,0.084087799582662173,1,1,0,1
26,2018-08-06 00:00:00,5202,VOL_COMPRESSION,0.017485975102989427,-0.04735997352576047,-0.14715458061549061,0.026429909157727534,0.084087799582662173,-1.329976027380978,3.4965075614664802,0.69314718055994529,3.4965075614664802,0,2,2,-0.011970460662605284,-0.1133797415711025,,0.011970460662605284,0.1133797415711025,,0.025515063165648558,0.065299650609691937,,1,0,,1
27,2018-08-20 00:00:00,5523,VOL_COMPRESSION,0.021480408036656341,0.026876470894381114,0.028688494510842766,0.028403178426843805,0.093222872470880763,1.1090623272030418,4.3174881135363101,1.0986122886681098,4.3174881135363101,0,0,24,-0.031555285701939932,-0.013441297310748284,0.028161537977176306,0.031555285701939932,0.013441297310748284,0.028161537977176306,0.026871449579512145,0.074621608118125959,0.082948647526884439,1,0,0,1
28,2018-08-27 00:00:00,5691,VOL_COMPRESSION,-0.0078926632507437238,0.032689777927076356,0.028161537977176306,0.021397382352354354,0.082948647526884439,1.1834487378928351,4.5538768916005408,1.3862943611198906,4.5538768916005408,0,0,5,0.02985006586284545,0.050639273616603434,0.083468411271330076,0.02985006586284545,0.050639273616603434,0.083468411271330076,0.026605583276255063,0.038964131709527977,0.05558975813987891,1,1,1,1
