scope,model,mse,skill_vs_zero,skill_vs_past_mean
all,selected,0.0006390849831137893,0.0075007729252144495,0.00442450252115234
all,ridge100,0.0006353733888239272,0.013264880299409199,0.010206475856788133
all,mlp16,0.0006395188819617284,0.006826927845785424,0.0037485688459660826
all,past_mean,0.0006419251827030502,0.0030899418596100903,0.0
excluding_2020,selected,0.0005001216904474143,-0.01954038796719848,-0.018952379712160905
excluding_2020,ridge100,0.0004957775736579938,-0.01068453827809912,-0.010101637533057373
excluding_2020,mlp16,0.0005037187607518309,-0.026873320179015447,-0.02628108273921481
excluding_2020,past_mean,0.0004908194930450933,-0.0005770713791390936,0.0
