policy,control,scenario,period,cagr_difference,sharpe_difference,drawdown_difference,volatility_difference
ridge_vol20_exact,trend_vol20_exact,frictionless,full,0.00048999388598458538,0.0011558342767494789,4.8849813083506888e-15,0.00011394136893982942
ridge_vol20_exact,allocation_vol20_exact,frictionless,full,0.0053176781871602241,0.13442632139519106,0.12295142981098062,-0.021208052305339092
ridge_vol20_exact,fixed_blend_vol20_exact,frictionless,full,0.001807056304448551,0.047016462188804509,0.057108049295344188,-0.0068564777246540309
ridge_vol20_exact,state_rule_vol20_exact,frictionless,full,-0.0049429376725034224,-0.013337560326344144,0.00059515902545914656,-0.000876581267747506
ridge_vol20_exact,constant_vol20_exact,frictionless,full,0.00048999388598458538,0.0011558342767494789,4.8849813083506888e-15,0.00011394136893982942
ridge_vol20_exact,trend_vol20_exact,frictionless,2020_2021,-0.0040856275320992896,-0.012230458050794368,0,9.3612778245766304e-05
ridge_vol20_exact,allocation_vol20_exact,frictionless,2020_2021,-0.020132914686262104,-0.037028173727559732,0.0067343852107675239,-0.0023159873974419876
ridge_vol20_exact,fixed_blend_vol20_exact,frictionless,2020_2021,-0.012163525763016825,-0.026590509531518425,0.0033702052686858108,-0.00090608250559190417
ridge_vol20_exact,state_rule_vol20_exact,frictionless,2020_2021,-0.0028778884174074371,-0.0021123231343627147,0.0067343852107673019,-0.00074844329622125727
ridge_vol20_exact,constant_vol20_exact,frictionless,2020_2021,-0.0040856275320992896,-0.012230458050794368,0,9.3612778245766304e-05
ridge_vol20_exact,trend_vol20_exact,frictionless,2022_2024,0.0027404378955828701,0.012378086342256789,0.00057359339633022977,0.00014159425798915271
ridge_vol20_exact,allocation_vol20_exact,frictionless,2022_2024,0.017646563624710287,0.18644136339682915,0.12224281190393949,-0.035697060304951567
ridge_vol20_exact,fixed_blend_vol20_exact,frictionless,2022_2024,0.0086375754764402846,0.082046071008120891,0.050983789529033818,-0.011704023852531636
