policy,excluded_year,remaining_days,cash_excess_sharpe
trend_vol40_band2,2020,1461,0.94513184791904437
trend_vol40_band2,2021,1462,1.1435454120749575
trend_vol40_band2,2022,1462,1.5895555581712666
trend_vol40_band2,2023,1462,1.2631306301070868
trend_vol40_band2,2024,1461,1.2297112785728777
allocation_vol40_band2,2020,1461,0.91371469006702966
allocation_vol40_band2,2021,1462,1.1729370657527314
allocation_vol40_band2,2022,1462,1.8885258978463202
allocation_vol40_band2,2023,1462,1.1089108751149352
allocation_vol40_band2,2024,1461,1.2349707351461272
fixed_blend_vol40_band2,2020,1461,0.96071380188869604
fixed_blend_vol40_band2,2021,1462,1.1988975029436182
fixed_blend_vol40_band2,2022,1462,1.7577234750685886
fixed_blend_vol40_band2,2023,1462,1.2145615392289677
fixed_blend_vol40_band2,2024,1461,1.273614206387867
state_rule_vol40_band2,2020,1461,0.97756872504632197
state_rule_vol40_band2,2021,1462,1.1655098361566432
state_rule_vol40_band2,2022,1462,1.6089260782280499
state_rule_vol40_band2,2023,1462,1.2668483109989617
state_rule_vol40_band2,2024,1461,1.2745425066575178
constant_vol40_band2,2020,1461,0.94513184791904437
constant_vol40_band2,2021,1462,1.1435454120749575
constant_vol40_band2,2022,1462,1.5895555581712666
constant_vol40_band2,2023,1462,1.2631306301070868
constant_vol40_band2,2024,1461,1.2297112785728777
ridge_vol40_band2,2020,1461,0.62001930043610132
ridge_vol40_band2,2021,1462,0.8027685539028403
ridge_vol40_band2,2022,1462,1.591558636380372
ridge_vol40_band2,2023,1462,0.95130378758813183
ridge_vol40_band2,2024,1461,0.89789689010956975
boosted_vol40_band2,2020,1461,0.86122609466995581
boosted_vol40_band2,2021,1462,1.08488313040741
boosted_vol40_band2,2022,1462,1.7195316638193072
boosted_vol40_band2,2023,1462,1.1224300862073728
boosted_vol40_band2,2024,1461,1.1420558985256981
btc_buy_hold,2020,1461,0.77572813746244706
btc_buy_hold,2021,1462,1.1730905381678465
btc_buy_hold,2022,1462,1.7032324519197852
btc_buy_hold,2023,1462,0.93601163555631994
btc_buy_hold,2024,1461,1.0008645841461812
eth_buy_hold,2020,1461,0.87180863383876772
eth_buy_hold,2021,1462,0.93043418535487865
eth_buy_hold,2022,1462,1.7363209080232829
eth_buy_hold,2023,1462,1.1797885122284508
eth_buy_hold,2024,1461,1.2642087920939633
mix_buy_hold,2020,1461,0.83859316528290528
mix_buy_hold,2021,1462,0.96415063476633522
mix_buy_hold,2022,1462,1.7443049663038643
mix_buy_hold,2023,1462,1.1069405289817504
mix_buy_hold,2024,1461,1.1832800267835644
usd_cash,2020,1461,
usd_cash,2021,1462,
usd_cash,2022,1462,
usd_cash,2023,1462,
usd_cash,2024,1461,
