policy,breakout_uncapped,breakout_vol20,breakout_vol40,btc_buy_hold,equal_weight_uncapped,equal_weight_vol20,equal_weight_vol40,eth_buy_hold,mix_buy_hold,rotation_uncapped,rotation_vol20,rotation_vol40,trend_ensemble_uncapped,trend_ensemble_vol20,trend_ensemble_vol40,usd_cash
breakout_uncapped,1,0.92958794356449603,0.95312268043991899,0.67159059908951924,0.70598337493070173,0.66934200192133408,0.67539656506085888,0.67556553727081048,0.70668745071060712,0.82914413732390746,0.75888493022150505,0.76788039637187844,0.90468204094851068,0.75094491222305704,0.82556628697434964,
breakout_vol20,0.92958794356449603,1,0.98913733957006933,0.65682255216466401,0.69161526844074517,0.71722365116599363,0.72267233993759084,0.66268204532503117,0.69065980133624816,0.80879857150326739,0.8184617095754303,0.82704751809477695,0.86672142486594439,0.8034383942299308,0.86796867088452989,
breakout_vol40,0.95312268043991899,0.98913733957006933,1,0.66218236149166576,0.69917836389007293,0.71169946553184071,0.71754793691847196,0.67134857587119823,0.69806377982343693,0.82413991455721392,0.81393560291746503,0.82287513529187983,0.88315778436266112,0.79783668129044849,0.87037610116704733,
btc_buy_hold,0.67159059908951924,0.65682255216466401,0.66218236149166576,1,0.94137336254192738,0.89971774947350214,0.90342232802880351,0.81921550322523784,0.95321013281418998,0.73115425614954843,0.70062145295577549,0.70411448783662278,0.82194326828307596,0.83274114227631846,0.81996730478721136,
equal_weight_uncapped,0.70598337493070173,0.69161526844074517,0.69917836389007293,0.94137336254192738,1,0.95344100192379067,0.95813378224586698,0.96466211980679994,0.99631901597151673,0.77586547944379269,0.72783370374534484,0.7327036486074191,0.85767261559850883,0.86821487760709892,0.85874965004487713,
equal_weight_vol20,0.66934200192133408,0.71722365116599363,0.71169946553184071,0.89971774947350214,0.95344100192379067,1,0.99888137849382352,0.91805159450880514,0.94914957633291164,0.73455013311268114,0.77767493018286182,0.77735749129619491,0.81616745094436616,0.91722884088826284,0.88607718281509928,
equal_weight_vol40,0.67539656506085888,0.72267233993759084,0.71754793691847196,0.90342232802880351,0.95813378224586698,0.99888137849382352,1,0.92313576846209289,0.95372742025176815,0.73728205925658796,0.7736832498622862,0.77545759701817574,0.81982097217009697,0.91560980779225898,0.88768600808676923,
eth_buy_hold,0.67556553727081048,0.66268204532503117,0.67134857587119823,0.81921550322523784,0.96466211980679994,0.91805159450880514,0.92313576846209289,1,0.94915772033469459,0.74784538623787078,0.69005223722190745,0.6956020495862123,0.81600454324618943,0.82549338208633127,0.81938385650426948,
mix_buy_hold,0.70668745071060712,0.69065980133624816,0.69806377982343693,0.95321013281418998,0.99631901597151673,0.94914957633291164,0.95372742025176815,0.94915772033469459,1,0.77881123494227811,0.729554959847869,0.73437823917066625,0.85748880563036389,0.86632025775785981,0.8567416980921585,
rotation_uncapped,0.82914413732390746,0.80879857150326739,0.82413991455721392,0.73115425614954843,0.77586547944379269,0.73455013311268114,0.73728205925658796,0.74784538623787078,0.77881123494227811,1,0.92926230083496142,0.93585860161202861,0.92105611244608099,0.82263188508052776,0.87995301491178057,
rotation_vol20,0.75888493022150505,0.8184617095754303,0.81393560291746503,0.70062145295577549,0.72783370374534484,0.77767493018286182,0.7736832498622862,0.69005223722190745,0.729554959847869,0.92926230083496142,1,0.99861009403325107,0.85267031580949826,0.86883728989280651,0.90068959870715748,
rotation_vol40,0.76788039637187844,0.82704751809477695,0.82287513529187983,0.70411448783662278,0.7327036486074191,0.77735749129619491,0.77545759701817574,0.6956020495862123,0.73437823917066625,0.93585860161202861,0.99861009403325107,1,0.85930026983961361,0.86914242239973416,0.90521000010664177,
trend_ensemble_uncapped,0.90468204094851068,0.86672142486594439,0.88315778436266112,0.82194326828307596,0.85767261559850883,0.81616745094436616,0.81982097217009697,0.81600454324618943,0.85748880563036389,0.92105611244608099,0.85267031580949826,0.85930026983961361,1,0.90397446923557834,0.9508222685945813,
trend_ensemble_vol20,0.75094491222305704,0.8034383942299308,0.79783668129044849,0.83274114227631846,0.86821487760709892,0.91722884088826284,0.91560980779225898,0.82549338208633127,0.86632025775785981,0.82263188508052776,0.86883728989280651,0.86914242239973416,0.90397446923557834,1,0.97736716145945235,
trend_ensemble_vol40,0.82556628697434964,0.86796867088452989,0.87037610116704733,0.81996730478721136,0.85874965004487713,0.88607718281509928,0.88768600808676923,0.81938385650426948,0.8567416980921585,0.87995301491178057,0.90068959870715748,0.90521000010664177,0.9508222685945813,0.97736716145945235,1,
usd_cash,,,,,,,,,,,,,,,,
