scenario,status,static_fraction,ce,annualized_volatility,cagr,maximum_drawdown
cost10,EX_POST_NONINVESTABLE_ATTRIBUTION,0.5468068310249258,0.028775487040193254,0.04711919217712828,0.031477952094381756,-0.10991134870656394
cost25,EX_POST_NONINVESTABLE_ATTRIBUTION,0.5468068310249258,0.027838533469088586,0.04711890958219508,0.03051204622493975,-0.1101220351196085
cost5,EX_POST_NONINVESTABLE_ATTRIBUTION,0.5468068310249258,0.029087513858174475,0.04712252073275708,0.03180013537281301,-0.10984117330127952
delay1,EX_POST_NONINVESTABLE_ATTRIBUTION,0.547210746552865,0.0294649805282787,0.0467008763044701,0.03214885920193722,-0.10820565596241505
gross,EX_POST_NONINVESTABLE_ATTRIBUTION,0.5468068310249258,0.029399394864355978,0.047127469908774124,0.032122426241962376,-0.10977102456696919
