scenario,policy,period,observations,ce,annualized_mean,annualized_volatility,turnover,average_exposure,average_cash,cagr,maximum_drawdown,worst_21_session_return
cost10,bil,all,1740,0.021752597430788157,0.021762007951752396,0.0025047316508610374,1.9990009990009991,0.0,1.0,0.021996364048289863,-0.0020852698720563723,-0.0006330212490829323
cost10,bil,excluding_2020,1487,0.024780468788609407,0.024790253946663742,0.002554102328194765,1.9990009990009991,0.0,1.0,,,
cost10,bil,2018,230,0.01662319606547551,0.016629391508374503,0.0020323127874405256,0.9990009990009991,0.0,1.0,0.016765781038149186,-0.0007804618282352127,0.00030145834180528297
cost10,bil,2019,252,0.020112922950337377,0.020118293465050674,0.0018921794688133867,0.0,0.0,1.0,0.020319391991693525,-0.00021858292867327211,0.001060535991363798
cost10,bil,2020,253,0.003958558388094998,0.00396358188679912,0.0018300270861605448,0.0,0.0,1.0,0.00396974156588259,-0.0008843796237582024,-0.0006330212490823772
cost10,bil,2021,252,-0.0009859307977613543,-0.000983038499084321,0.0013885960960704489,0.0,0.0,1.0,-0.0009835167373060116,-0.001092918042396862,-0.0003283114069043691
cost10,bil,2022,251,0.013997618811952668,0.014006849275221249,0.002480653579009622,0.0,0.0,1.0,0.014101902857258652,-0.0003281284501821524,-0.00032812845018181935
cost10,bil,2023,250,0.048647800524601686,0.048659956462734986,0.002846745291649968,0.0,0.0,1.0,0.04985412428985936,-0.00021813266807546583,0.0028759298612051065
cost10,bil,2024,252,0.04973375757508652,0.04974426601815496,0.0026468148239525524,1.0,0.0,1.0,0.05099346025453255,-0.0006721583436040124,0.003137105837027976
cost10,hold,all,1740,0.028938703413828544,0.037908280809776096,0.0773286380583871,1.9990009990009994,0.7563284311226052,0.24367156887739483,0.03552793626006312,-0.15108642731336386,-0.13927960228835512
cost10,hold,excluding_2020,1487,0.03284709195687594,0.04090092894394759,0.07327499340189507,1.9990009990009994,0.7595227909731841,0.2404772090268159,,,
cost10,hold,2018,230,-0.08514981847181174,-0.07840486465767552,0.0670569599377337,0.9990009990009994,0.7446958047325379,0.25530419526746206,-0.07749200569850578,-0.09725366217512865,-0.04866339707387157
cost10,hold,2019,252,0.11056554248422086,0.11520896307286765,0.05563823977953052,0.0,0.7417007512412122,0.2582992487587878,0.12035413838947262,-0.02480544759146741,-0.01948957810201124
