source_date,execution_date,target_end,future_variance_5,year,rv21,iv_near_raw,ridge_A,ridge_B,ridge_C,gbm_A,gbm_B,gbm_C
2018-01-02,2018-01-03,2018-01-10,7.2604665449805107e-05,2018,6.8184188293708421e-05,9.3195361607142577e-05,9.9883566092874798e-05,6.611102594184911e-05,6.8980675187628904e-05,8.6456312887151233e-05,8.6812941905961723e-05,5.9907300184529639e-05
2018-01-09,2018-01-10,2018-01-18,0.00019962605854409999,2018,8.7541795981444366e-05,0.00010692516071428571,8.9250779287559126e-05,6.8715322022824336e-05,7.217833165651696e-05,9.4028280948675079e-05,7.0354226432620373e-05,7.1473185377657179e-05
2018-01-17,2018-01-18,2018-01-25,9.10110023551642e-05,2018,0.00012102404308883338,0.00017131203174603176,9.8015014008078595e-05,0.00010867887523637043,0.00010715579891964379,4.4411130041239447e-05,6.1863667197499316e-05,5.0771809500977324e-05
2018-01-24,2018-01-25,2018-02-01,0.00028459471826829997,2018,0.00011283655577890665,0.00018977857142857103,8.7718819339427037e-05,0.00011494744562963294,0.00011263615446273204,4.5982497724154136e-05,6.2957389516861217e-05,8.4894716587417839e-05
2018-01-31,2018-02-01,2018-02-08,0.0041815160918856004,2018,0.00017551541009206648,0.00027307161160714286,0.00011679238578759894,0.00017677688576921599,0.0001826107890217069,5.7732270599462748e-05,9.188040656909345e-05,0.00013587921313748527
2018-02-07,2018-02-08,2018-02-15,0.00078147381877300001,2018,0.00078634378306050002,0.0006480461433531746,0.00066951185204639461,0.00066369433945109271,0.00074579400361828268,0.00033266415903437593,0.00046108330959112996,0.00063144340001775599
2018-02-14,2018-02-15,2018-02-23,0.0003161497933761,2018,0.0012549184633120001,0.00048496419841269838,0.00083726191793366501,0.00046978685207150448,0.00045390724251332439,0.00091248161680979338,0.00048818869437555404,0.00055293548111748944
2018-02-22,2018-02-23,2018-03-02,0.00063583258959590001,2018,0.0012652364413314999,0.00042630349999999941,0.0006754406265391949,0.00036961084195512637,0.00032920906175060204,0.00064762521984857682,0.0003766239860148199,0.00038373316596737703
2018-03-01,2018-03-02,2018-03-09,0.00045957659014499999,2018,0.0014023977767710001,0.00051568008382936502,0.00095659184659086763,0.00051446128038100272,0.00045525277899062636,0.0017862576785578539,0.0005635698473132908,0.00072872304048007494
2018-03-08,2018-03-09,2018-03-16,7.2448764089798074e-05,2018,0.00080631450735750001,0.0002962380178571423,0.00039651285786834609,0.00020148135745155077,0.00018032142066606957,0.00037736551998395737,0.00020218677246830046,0.00022063437761809265
2018-03-15,2018-03-16,2018-03-23,0.0012971781142374001,2018,0.00043412522131117934,0.00029626226240079363,0.00041232637309266058,0.00022137355328273766,0.00019732413807373975,0.0002872481385491995,0.00018268422158817453,0.00019943269542242368
2018-03-22,2018-03-23,2018-04-02,0.0016690526222444999,2018,0.00053633395938100005,0.00064808200198412697,0.00081568759857048067,0.00067075930958641829,0.00063806392245437874,0.00052818075951393628,0.00053362101070469263,0.00065333604819364582
2018-03-29,2018-04-02,2018-04-09,0.00086937972363389997,2018,0.00077692637828500005,0.00057997501785714289,0.0010987625126031386,0.00062975582861315147,0.00054389240116267874,0.00055413917582498742,0.00055091528931314128,0.00057128590366184906
2018-04-06,2018-04-09,2018-04-16,0.00041928688848989998,2018,0.0010011559466709999,0.00064808200198412697,0.0013130941883187528,0.00072843524257186758,0.00061273745840013363,0.00093293548658246505,0.00069183694117817135,0.00070243280939263886
2018-04-13,2018-04-16,2018-04-23,0.00021726144586360001,2018,0.00099766992757600002,0.00039839067460317409,0.00095452189960694694,0.00037277104627263897,0.00030558320942499384,0.0006679769580181735,0.00043338307871507821,0.00046691857967626763
2018-04-20,2018-04-23,2018-04-30,0.0003527265904539,2018,0.0010190410711809999,0.00039839067460317409,0.00076418913029522911,0.00033280157256168846,0.00029770248474844619,0.00065419085926751675,0.00045118592979708622,0.00047862009331868673
2018-04-27,2018-04-30,2018-05-07,0.00023032065676660001,2018,0.00058009916572150004,0.00032037271626984116,0.00054959290626426893,0.00024293829712500892,0.00021719259669217088,0.00037668917695061289,0.00024408194103489012,0.00020109005794929094
2018-05-04,2018-05-07,2018-05-14,0.00018866257746750001,2018,0.00041436213411150656,0.0002962380178571423,0.00067492495412664524,0.00026102810894971764,0.00023724188603618419,0.00037237138793905314,0.00022402459509808056,0.00023390821224915994
2018-05-11,2018-05-14,2018-05-21,0.0001284601157872,2018,0.00025343295067228682,0.00020919012698412655,0.00040197715851512846,0.00016388108621851919,0.00015841099984190236,0.00026662958113458061,0.00012993255979153553,0.00014445420480567911
2018-05-18,2018-05-21,2018-05-29,0.0001590196432264,2018,0.00021823709547936357,0.00025082597668650748,0.00037503518983034336,0.00019919510990062614,0.00019641306151904641,0.00022428805734056785,0.00015905793829290905,0.00016737409554627849
2018-05-25,2018-05-29,2018-06-05,0.00033192994712789999,2018,0.00015074417518980105,0.00018979797668650794,0.0003345833552426207,0.00014950610814044456,0.00016299090879164235,0.00027904108514231085,0.00012512452020753943,0.00010398147803302296
2018-06-04,2018-06-05,2018-06-12,8.147673189953065e-05,2018,0.00023438416809931436,0.00017133046874999997,0.00035667271329915633,0.00013035323848588625,0.00014291006190800273,0.00035163882473228543,0.00011082371383730584,0.00010952681858848525
2018-06-11,2018-06-12,2018-06-19,3.7151452138616088e-05,2018,0.0001687441579920263,0.00017133046874999997,0.00031272500493181475,0.00012964044908059361,0.0001330305744162031,0.00027904108514231085,0.00012134221791204888,8.9018952096573192e-05
2018-06-18,2018-06-19,2018-06-26,0.00023852424315130001,2018,0.00015647704191345098,0.00017131203174603176,0.00025179106403723452,0.00011915507307617691,0.00012415648450324682,0.00029260062373612347,0.00014169948363830525,0.00010741328606239065
2018-06-25,2018-06-26,2018-07-03,0.00012084826352839999,2018,0.00019611915972958961,0.00034545243055555562,0.00038643869842161136,0.00031682028463348865,0.00029948967040443797,0.00032290600214920131,0.00029936647923785797,0.00029526443385571475
2018-07-02,2018-07-03,2018-07-11,0.00028410676569700001,2018,0.00011630705016036681,0.0002962380178571423,0.00028879050687186623,0.00026626358330809473,0.0002672103468116459,0.00030253012633846385,0.0002831055097548712,0.00022074570310714
2018-07-10,2018-07-11,2018-07-18,0.00010358526306999999,2018,0.00015004113042454999,0.00017131203174603176,0.00025874138744120856,0.00014385984425713144,0.00014038508494610688,0.00028637315857529849,0.00012483249718713617,0.0001777179516659128
2018-07-17,2018-07-18,2018-07-25,0.0001162508914445,2018,0.00018134124120187549,0.00013724700198412663,0.00021810813978596718,0.00010331493590578079,0.0001076467618450307,0.00026841123503422925,9.6484662647760265e-05,8.4406674074764801e-05
2018-07-24,2018-07-25,2018-08-01,0.0001062167892935,2018,0.00017750591480481548,0.00018977857142857103,0.00014750836365405183,0.00012343563940585484,0.00012669475230664206,0.00023177870203995178,0.00013824481205825559,0.00010538992540333918
2018-07-31,2018-08-01,2018-08-08,7.2243615725346773e-05,2018,0.00014867513132659559,0.00020919012698412655,0.00016896037687667606,0.00014923816256275839,0.00015918895061492258,0.00022049083194584517,0.00013439499371932701,8.9945587643905088e-05
2018-08-07,2018-08-08,2018-08-15,0.00015776745621750001,2018,0.0001106942127783926,0.00012161357341269809,0.00015194370929355391,8.4872728446332683e-05,8.8662179914401302e-05,0.00010258928320738225,7.4520272079713643e-05,8.3361129325512325e-05
2018-08-14,2018-08-15,2018-08-22,8.7701537240114327e-05,2018,9.9289893312124038e-05,0.00017131203174603176,0.00017091497022732983,0.00013278121288362325,0.00013642798544724789,0.00016887880122687507,0.00011425450696351564,8.2874342297497821e-05
2018-08-21,2018-08-22,2018-08-29,0.00012865038506159999,2018,0.00012399813352789493,0.00015380797668650758,0.0001746751171136268,0.00011533934655501159,0.00012601992799162332,0.00010582936562485807,9.2894297102895598e-05,8.1597686537170495e-05
2018-08-28,2018-08-29,2018-09-06,3.5782776903802058e-05,2018,0.00010584351750002368,0.00015380797668650758,0.00013465353243942023,0.00010668410742560784,0.00011257158071739491,8.4603392169619861e-05,8.8547406682042959e-05,7.2555944816586783e-05
2018-09-05,2018-09-06,2018-09-13,5.2467480159905486e-05,2018,9.8061239867275004e-05,0.00018979797668650794,0.00013575619302088994,0.00013838656852630099,0.00013912826212637855,0.00011820662423193254,0.00011291807768399638,0.00019095011522922409
2018-09-12,2018-09-13,2018-09-20,0.00012376952194600001,2018,8.7253571808419746e-05,0.00017133046874999997,0.00010993474503543633,0.00011402394515259229,0.0001176082628011233,0.00014133480139614821,0.00013707094058928757,0.00015322688210930497
2018-09-19,2018-09-20,2018-09-27,2.9538178718061421e-05,2018,6.6992618512239809e-05,0.00013724700198412663,0.00015043119491120992,0.00010789536653613937,0.00011016074271493436,9.0670287890039442e-05,8.5034612102440348e-05,0.0001235097721277951
2018-09-26,2018-09-27,2018-10-04,7.4252626984350702e-05,2018,6.2571951811702094e-05,0.00017131203174603176,0.00015462706252502778,0.00014390757530068933,0.0001443919917498455,9.1885080602371354e-05,9.3162109469691247e-05,9.4860245065922101e-05
2018-10-03,2018-10-04,2018-10-11,0.0015649503297559,2018,5.5907026652906938e-05,0.00015380797668650758,0.00010758123420865061,0.00011139547459339922,0.00010583419846062275,0.00011546056096769882,0.00011944550640778336,0.00012645332997859656
2018-10-10,2018-10-11,2018-10-18,0.00090147627433410005,2018,0.00031696731115559654,0.00064808200198412697,0.00042935237973984648,0.00069782154263908194,0.00075956724280270887,0.0004550287083055955,0.00061082646386354086,0.00056625799928153363
2018-10-17,2018-10-18,2018-10-25,0.0013093800804703001,2018,0.00057735689915650002,0.00039841879017857144,0.00054913471753455635,0.00039587416513039736,0.00034713981537324548,0.00038608864964803028,0.00034523212285125771,0.00034674411520648092
2018-10-24,2018-10-25,2018-11-01,0.00078702332894410002,2018,0.00084539115188899999,0.00087495833382936433,0.0011193019889618962,0.0011469754267706732,0.001039358090257968,0.00087906141454619988,0.00082317595842248687,0.00077228038355104582
2018-10-31,2018-11-01,2018-11-08,0.00055736824356580005,2018,0.001074439274606,0.0006480461433531746,0.0010246582180531954,0.00074605605669715754,0.00068663916047922199,0.0017897987687918808,0.0011432768467622236,0.00098615897330647014
2018-11-07,2018-11-08,2018-11-15,0.00061050916060190002,2018,0.001210301367879,0.00037145001240079367,0.00063254419355221426,0.00031515434974686547,0.00028794560101847968,0.0010590208854674768,0.00059723231122018119,0.00045282868226908043
2018-11-14,2018-11-15,2018-11-23,0.00070314845239199996,2018,0.00080193029849949993,0.0006835161909722222,0.00072034033171870977,0.00066980766230110244,0.00067342482106074754,0.00065775879461417029,0.00058979610364936802,0.00058704838666448131
2018-11-21,2018-11-23,2018-11-30,0.00082770837559989995,2018,0.00092284241827500003,0.00075729133382936519,0.00079144743673672103,0.00074733025771413317,0.00077368859778565325,0.0006933450516153041,0.00067856936999005255,0.00069890415908202671
