scenario,asset,model,period,cagr,zero_cash_sharpe,annual_vol,max_drawdown,calmar,terminal_multiple,mean_exposure,one_way_turnover_per_year,fees_initial_capital,worst_day
base,MIX,recent24_raw,2023,-0.009297718667348076,-0.2993366391591153,0.029719044990994585,-0.03240516478726119,-0.2869208883333038,0.9907086156173055,0.018612081750901642,13.583394113570195,0.03987053066547467,-0.014878183700581138
base,MIX,recent24_raw,2024,-0.025590797040902058,-0.4457278678792085,0.05475476391112173,-0.07712440436315371,-0.33181192454211156,0.974357334682328,0.014435166919486963,10.528410162571157,0.0311720185952164,-0.029673427202315472
base,MIX,recent24_raw,2025,0.10407749086383067,1.448877964981642,0.0699554418312147,-0.032898867062124304,3.163558510002694,1.1037034445095488,0.01749330172933119,12.747452909452319,0.04060308716646522,-0.02660853118476747
base,BTC,ewma_raw,full,-0.019400098742153427,-0.18935647509146583,0.08427300386017283,-0.22509489460584964,-0.08618631167145657,0.8891247878906259,0.017031141294568394,12.42649633689936,0.19657175731834303,-0.10706119318336615
base,BTC,ewma_raw,2020_2022,-0.04248689364920355,-0.3817238508362339,0.10012363814596843,-0.19599644377863223,-0.21677379869805333,0.8778519457083425,0.015532755839790439,11.336272637273892,0.09129456082103389,-0.10706119318336615
base,BTC,ewma_raw,2023_end,0.004265197277179,0.09782166979815486,0.06465472684749905,-0.12392534025138835,0.03441747481610176,1.012841393400555,0.01853089513788952,13.51771567460668,0.11992591348915962,-0.04163160370339547
base,BTC,ewma_raw,2020,-0.14255111622248406,-1.0181617552697741,0.14076175538511163,-0.19599644377863223,-0.7273148097701615,0.8571781457342046,0.021113211908475663,15.435512110237575,0.04265830812704477,-0.10706119318336615
base,BTC,ewma_raw,2021,0.03322202597648971,0.7910404048080694,0.04242315584199783,-0.05076996505150977,0.6543637747787218,1.0331989133905064,0.008654630207480416,6.29848771643565,0.019135138264474685,-0.02449468986810399
base,BTC,ewma_raw,2022,-0.008794690933771165,-0.050187346732480494,0.09187564894757973,-0.06432623524816461,-0.13672012515332305,0.9912113021738506,0.01681513648267911,12.263587292071836,0.036396496427153,-0.03995238508429122
base,BTC,ewma_raw,2023,0.03586594298802326,0.6744381428144958,0.05433336606215419,-0.023103420158239185,1.5524083768711048,1.035840959325273,0.01982488006720019,14.462900814897045,0.042982288724908294,-0.006636552689693986
base,BTC,ewma_raw,2024,-0.07821525316326494,-1.0199272884413095,0.07687858220967342,-0.12392534025138835,-0.631148181676174,0.9216306048628007,0.018608704516129962,13.58359343082061,0.038242578324858195,-0.04163160370339547
base,BTC,ewma_raw,2025,0.061157139235376246,1.0096940437944733,0.06053541810488545,-0.042871062965679774,1.4265365728005228,1.060941588788086,0.017155118402630197,12.503694149935567,0.03910322941974517,-0.02553417786741674
base,ETH,ewma_raw,full,0.019760229590172873,0.29118483330293754,0.07729470164605963,-0.1674562094981079,0.11800236998912927,1.1245448739514403,0.016292418369174416,11.879997296449073,0.21711524369978302,-0.0510343853418479
base,ETH,ewma_raw,2020_2022,-0.003220111624225419,-0.008036299957913173,0.0724840688024195,-0.12554020147632383,-0.025650043463031354,0.990368552751655,0.01565114564930875,11.42533787421604,0.10626893561245225,-0.0510343853418479
base,ETH,ewma_raw,2023_end,0.043292089201108164,0.557383810205895,0.08184249139910241,-0.08552704830035252,0.5061800922799966,1.1354812012426967,0.016934276726227177,12.33507193276633,0.1119243010890781,-0.035015759318247186
base,ETH,ewma_raw,2020,0.04442825814015694,1.0429890801377897,0.04250619651373273,-0.047634506585150116,0.932690633852546,1.0445214879550262,0.012652978149075518,9.242556657824668,0.028197521116071347,-0.01435170253502871
base,ETH,ewma_raw,2021,0.035265450219226446,0.49637808362871416,0.07551639615651089,-0.07717810437765249,0.4569359471005332,1.0352408919254519,0.01661107410631182,12.117905845582968,0.03680417395206226,-0.03591210853149107
base,ETH,ewma_raw,2022,-0.08417624047348515,-0.9207055015237908,0.09089633044287812,-0.09923368881772143,-0.8482627369431491,0.9158788806964607,0.017697598850073784,12.921531341751155,0.036648029955723416,-0.0510343853418479
base,ETH,ewma_raw,2023,-0.03973111795970263,-1.084671577686946,0.03672374499411367,-0.04284131902920629,-0.9274018368252542,0.9602955293445501,0.018982039406582458,13.849536190956542,0.04039000191674029,-0.02778407336861255
base,ETH,ewma_raw,2024,0.015142578918556637,0.24654428079823348,0.07104934913177965,-0.08552704830035252,0.17705017558163788,1.0151739072323807,0.013900879802484719,10.108984574708394,0.03128930143864942,-0.03435786806061403
base,ETH,ewma_raw,2025,0.16536521001625326,1.3631658182604118,0.11705002005568413,-0.05908182571665699,2.798918415441446,1.1647550306337424,0.01793095226402954,13.05476566576022,0.04255690713712332,-0.035015759318247186
base,MIX,ewma_raw,full,0.0011361672489400565,0.05044769875849298,0.06675216756050115,-0.15197748187919535,0.007475892052502745,1.006834830921033,0.01664907269093207,12.155349600228101,0.206843500509063,-0.053882896759458565
base,MIX,ewma_raw,2020_2022,-0.02245904152087852,-0.28235548595600074,0.0712861124705217,-0.11684275314560866,-0.1922159561996131,0.9341102492299987,0.01562051883533287,11.417965769234199,0.09878174821674307,-0.053882896759458565
base,MIX,ewma_raw,2023_end,0.025323233587940752,0.43438599728439986,0.0618907346736643,-0.08902960190697262,0.2844361094010181,1.0778543879065479,0.017678565865120857,12.893406841113324,0.11568415225226027,-0.03322344813210276
base,MIX,ewma_raw,2020,-0.04905197721799037,-0.6459936350138928,0.07354092171007075,-0.10775371165543957,-0.4552230866519219,0.9508498168446153,0.016593060020247262,12.160593155826447,0.03542791462155806,-0.053882896759458565
base,MIX,ewma_raw,2021,0.03434439033005865,0.6471487321013636,0.05443476214803203,-0.058709124118766165,0.5849923814325921,1.0343204840212772,0.013017904746845466,9.493919813444808,0.02883997656815887,-0.030692155638132657
base,MIX,ewma_raw,2022,-0.0502358704373469,-0.5787053839393809,0.08299470730010046,-0.0714185932406306,-0.7034004473889205,0.9497976362264029,0.01724792724250886,12.597349742851637,0.036534775873406096,-0.04595175503192728
base,MIX,ewma_raw,2023,-0.004209553851275749,-0.1117192637249394,0.03292763774711799,-0.03197767441234767,-0.1316404000176541,0.9957933213624718,0.019413491625694907,14.168290205280163,0.04160808298386282,-0.01473812935734764
