scenario,asset,model,accounting_max_error,replay_max_error,original_trade_slots,positive_weight_trades,combination
cost_stress,MIX,boosted,,,,,"equal initial capital, no sleeve rebalancing"
delay_stress,BTC,fixed_full,2.0637736471241304e-16,3.2582683311905937e-16,50.0,50.0,
delay_stress,ETH,fixed_full,2.286651631817165e-16,0.0,65.0,65.0,
delay_stress,MIX,fixed_full,,,,,"equal initial capital, no sleeve rebalancing"
delay_stress,BTC,fixed_half,1.8696661384946134e-16,5.290439585811755e-16,50.0,50.0,
delay_stress,ETH,fixed_half,3.107502310604289e-16,7.807267766791021e-16,65.0,65.0,
delay_stress,MIX,fixed_half,,,,,"equal initial capital, no sleeve rebalancing"
delay_stress,BTC,recent24_raw,1.8300670137123793e-16,3.995836556752047e-16,50.0,50.0,
delay_stress,ETH,recent24_raw,3.025280477564601e-16,7.568729228722639e-16,65.0,65.0,
delay_stress,MIX,recent24_raw,,,,,"equal initial capital, no sleeve rebalancing"
delay_stress,BTC,ewma_raw,1.7313584602451757e-16,5.114135202916086e-16,50.0,50.0,
delay_stress,ETH,ewma_raw,3.2856083948006563e-16,4.297285191636393e-16,65.0,65.0,
delay_stress,MIX,ewma_raw,,,,,"equal initial capital, no sleeve rebalancing"
delay_stress,BTC,recent24_calibrated,2.3504376894528053e-16,2.669656176652905e-16,50.0,50.0,
delay_stress,ETH,recent24_calibrated,2.9131685697462533e-16,6.322471892935914e-16,65.0,65.0,
delay_stress,MIX,recent24_calibrated,,,,,"equal initial capital, no sleeve rebalancing"
delay_stress,BTC,ewma_calibrated,1.8920189911552723e-16,2.8982998670204044e-16,50.0,50.0,
delay_stress,ETH,ewma_calibrated,2.9645551587842813e-16,8.395759632124645e-16,65.0,65.0,
delay_stress,MIX,ewma_calibrated,,,,,"equal initial capital, no sleeve rebalancing"
delay_stress,BTC,full_linear,1.629006608880093e-16,6.029385794665677e-16,50.0,50.0,
delay_stress,ETH,full_linear,3.1106142108572293e-16,8.302644864652406e-16,65.0,65.0,
delay_stress,MIX,full_linear,,,,,"equal initial capital, no sleeve rebalancing"
delay_stress,BTC,boosted,2.19687843558223e-16,2.9822460549419286e-16,50.0,50.0,
delay_stress,ETH,boosted,3.116436838487199e-16,8.504026526720572e-16,65.0,65.0,
delay_stress,MIX,boosted,,,,,"equal initial capital, no sleeve rebalancing"
