scenario,asset,regime,entry_year,trades,mean_net_trade_return,median_net_trade_return,win_fraction,geometric_break_even_one_way_bps,top5_positive_pnl_share,terminal_multiple_without_top5
frictionless,ETH,TREND_UP,2022,1,-0.02404328864975902,-0.02404328864975902,0.0,,,0.975956711350241
frictionless,ETH,TREND_UP,2023,3,-0.003953863150724657,7.756507709966165e-05,0.6666666666666666,,1.0,0.9762498425890945
frictionless,ETH,TREND_UP,2024,0,,,,,,1.0
frictionless,ETH,TREND_UP,2025,2,0.026317364730539694,0.026317364730539694,1.0,129.87748426100256,1.0,1.0
frictionless,ETH,TREND_DOWN,all,14,0.021227818345915566,0.007727368882713526,0.6428571428571429,101.29193942128006,0.9200006236415199,0.9646536602290292
frictionless,ETH,TREND_DOWN,2020,1,0.023921264865357283,0.023921264865357283,1.0,118.19266530088501,1.0,1.0
frictionless,ETH,TREND_DOWN,2021,2,0.033332658619221245,0.033332658619221245,0.5,159.41845977211534,1.0,0.9894443067700406
frictionless,ETH,TREND_DOWN,2022,3,0.018690369200887735,0.009318717066806759,1.0,91.98213858262068,1.0,1.0
frictionless,ETH,TREND_DOWN,2023,2,0.0038578870756366124,0.0038578870756366124,0.5,19.145920960373957,1.0,0.9973096566155097
frictionless,ETH,TREND_DOWN,2024,4,0.020802476920717294,-0.004952537333626328,0.5,95.50068988847637,1.0,0.9603438024043098
frictionless,ETH,TREND_DOWN,2025,2,0.029803042651106282,0.029803042651106282,0.5,142.39691923081963,1.0,0.9864663352393858
frictionless,ETH,RANGE,all,1,0.11701266500519458,0.11701266500519458,1.0,552.7253895994414,1.0,1.0
frictionless,ETH,RANGE,2020,0,,,,,,1.0
frictionless,ETH,RANGE,2021,0,,,,,,1.0
frictionless,ETH,RANGE,2022,0,,,,,,1.0
frictionless,ETH,RANGE,2023,0,,,,,,1.0
frictionless,ETH,RANGE,2024,0,,,,,,1.0
frictionless,ETH,RANGE,2025,1,0.11701266500519458,0.11701266500519458,1.0,552.7253895994414,1.0,1.0
frictionless,ETH,VOL_COMPRESSION,all,3,0.00423436278743002,0.0047129523236020265,0.6666666666666666,21.05115946738846,1.0,0.9972314177200101
frictionless,ETH,VOL_COMPRESSION,2020,0,,,,,,1.0
frictionless,ETH,VOL_COMPRESSION,2021,0,,,,,,1.0
frictionless,ETH,VOL_COMPRESSION,2022,0,,,,,,1.0
frictionless,ETH,VOL_COMPRESSION,2023,3,0.00423436278743002,0.0047129523236020265,0.6666666666666666,21.05115946738846,1.0,0.9972314177200101
frictionless,ETH,VOL_COMPRESSION,2024,0,,,,,,1.0
frictionless,ETH,VOL_COMPRESSION,2025,0,,,,,,1.0
frictionless,ETH,VOL_EXPANSION,all,19,-0.00542195532212669,0.007117508356026425,0.5263157894736842,,0.7350609989501221,0.7042549972522953
frictionless,ETH,VOL_EXPANSION,2020,2,0.049614905286527566,0.049614905286527566,1.0,240.34832511825385,1.0,1.0
frictionless,ETH,VOL_EXPANSION,2021,4,-0.015076088298813434,-0.03500331177812199,0.25,,1.0,0.8912561845355683
frictionless,ETH,VOL_EXPANSION,2022,5,-0.028377359723540895,-0.0030160191035271122,0.4,,1.0,0.8175235485254289
frictionless,ETH,VOL_EXPANSION,2023,0,,,,,,1.0
frictionless,ETH,VOL_EXPANSION,2024,3,-0.014846982787231178,0.015695790227293838,0.6666666666666666,,1.0,0.918327727767336
frictionless,ETH,VOL_EXPANSION,2025,5,0.008897027696237902,0.007117508356026425,0.6,42.746978165407974,1.0,0.9716672040523654
frictionless,ETH,HIGH_VOL,all,20,0.02081315741878419,0.024460025463988067,0.7,96.19087902232879,0.5803038657456611,1.0193147198365298
