scenario,gap_mode,regime_filter,asset,accounting_max_relative_error,replay_max_relative_error,cancelled_missing_entries,held_stale_marks,ignored_signals,deferred_exits,trades,win_fraction,geometric_break_even_one_way_bps,top5_positive_pnl_share,terminal_multiple_without_top5,combination
frictionless,past_gap_clean,VOL_COMPRESSION,ETH,4.2589843846286658e-16,2.202910114509371e-16,0.0,0.0,0.0,0.0,3,0.6666666666666666,21.05115946738846,1.0,0.99723141772001,
frictionless,past_gap_clean,VOL_COMPRESSION,MIX,,,,,,,8,0.75,,0.9564365144259079,0.9990289371950607,"equal initial capital, no sleeve rebalancing"
frictionless,past_gap_clean,VOL_EXPANSION,BTC,3.7167266521149124e-16,2.2178785000505893e-16,0.0,0.0,1.0,0.0,9,0.7777777777777778,46.22351848325847,0.9160894189459052,0.9085511650177225,
frictionless,past_gap_clean,VOL_EXPANSION,ETH,2.0952017469382286e-16,1.3790626318215972e-16,0.0,0.0,0.0,0.0,19,0.5263157894736842,,0.7610773480072693,0.7042549972522953,
frictionless,past_gap_clean,VOL_EXPANSION,MIX,,,,,,,28,0.6071428571428571,,0.5405258801268795,0.866959620573845,"equal initial capital, no sleeve rebalancing"
frictionless,past_gap_clean,HIGH_VOL,BTC,1.332006815483441e-16,0.0,0.0,0.0,0.0,0.0,7,0.42857142857142855,,1.0,0.7362701214239832,
frictionless,past_gap_clean,HIGH_VOL,ETH,2.022236042619516e-16,0.0,0.0,1.0,0.0,0.0,20,0.7,96.19087902232879,0.5838042813152649,1.0193147198365302,
frictionless,past_gap_clean,HIGH_VOL,MIX,,,,,,,27,0.6296296296296297,,0.5167801688129042,0.9249424775289846,"equal initial capital, no sleeve rebalancing"
frictionless,past_gap_clean,UNKNOWN,BTC,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,1.0,
frictionless,past_gap_clean,UNKNOWN,ETH,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,1.0,
frictionless,past_gap_clean,UNKNOWN,MIX,,,,,,,0,,,,1.0,"equal initial capital, no sleeve rebalancing"
base,original,ALL,BTC,1.5497653213938167e-16,3.270241036913114e-16,0.0,0.0,2.0,0.0,50,0.46,2.968529291713967,0.4223332593409659,0.615956447066652,
base,original,ALL,ETH,3.1248382268497724e-16,4.502654890274519e-16,0.0,1.0,0.0,0.0,65,0.5692307692307692,56.71524383591913,0.35799766929271565,0.9041440166905048,
base,original,ALL,MIX,,,,,,,115,0.5217391304347826,,0.28045852281299966,0.8336413108645245,"equal initial capital, no sleeve rebalancing"
base,original,TREND_UP,BTC,1.8491697105189157e-16,2.477951074283269e-16,0.0,0.0,0.0,0.0,12,0.4166666666666667,16.82734619118491,1.0,0.8813980741161836,
base,original,TREND_UP,ETH,2.866842278565315e-16,2.2362588754074526e-16,0.0,0.0,0.0,0.0,8,0.5,46.34688975327458,1.0,0.925895086543473,
base,original,TREND_UP,MIX,,,,,,,20,0.45,,0.8039412752124222,0.9217122215727958,"equal initial capital, no sleeve rebalancing"
base,original,TREND_DOWN,BTC,2.048700823599504e-16,2.3594895170907944e-16,0.0,0.0,0.0,0.0,15,0.5333333333333333,33.53238953224173,0.813220221708555,0.898727944264468,
