scenario,gap_mode,regime_filter,asset,period,cagr,zero_cash_sharpe,annual_vol,max_drawdown,calmar,terminal_multiple,mean_exposure,one_way_turnover_per_year,fees_initial_capital,worst_day
frictionless,original,ALL,BTC,full,0.004960942957178194,0.11081616666466997,0.14515544945291883,-0.31111572966409295,0.015945651357886823,1.030130294534399,0.022820629849383843,16.670653950811186,0.0,-0.20204569126687622
frictionless,original,ALL,BTC,2020_2022,-0.036835317902764286,-0.10180719388023192,0.1860764085156835,-0.31111572966409295,-0.11839747846415491,0.8934916358314896,0.023722627737226276,17.3298474582641,0.0,-0.20204569126687622
frictionless,original,ALL,BTC,2023_end,0.048611619983422116,0.5899698053269744,0.08669434925943127,-0.13859991034157637,0.3507334157981767,1.152926623175104,0.021917808219178082,16.01085844015511,0.0,-0.053416058021622304
frictionless,original,ALL,BTC,2020,-0.18982044018606148,-0.7548012770511178,0.23726105137575004,-0.31111572966409295,-0.6101280716054048,0.8098294459727625,0.0273224043715847,19.960387745728124,0.0,-0.20204569126687622
frictionless,original,ALL,BTC,2021,0.13107656061008632,1.604514997428432,0.07862264715725244,-0.08208706829947165,1.5967991466316014,1.1309812090011655,0.01643835616438356,12.008249172384629,0.0,-0.03295555434336328
frictionless,original,ALL,BTC,2022,-0.02448451130717766,-0.017001325566714704,0.20347121572573007,-0.14632989446223155,-0.16732405498657166,0.9755320407079106,0.0273972602739726,20.013698496987875,0.0,-0.13302994032882987
frictionless,original,ALL,BTC,2023,0.10398263052576628,1.4077646949087292,0.07199689218518115,-0.018094080923407696,5.746776029460966,1.1039078824646293,0.021917808219178082,16.010812934534627,0.0,-0.0036474951752196727
frictionless,original,ALL,BTC,2024,-0.07219901931229566,-0.6746097563467893,0.10307395615697294,-0.13859991034157637,-0.5209167822285223,0.9276582245720109,0.02459016393442623,17.96302690970472,0.0,-0.053416058021622304
frictionless,original,ALL,BTC,2025,0.12630917708610068,1.4911842626070992,0.08191228613703931,-0.04722707618577904,2.674507661436275,1.1258507828747257,0.019230769230769232,14.048009400859288,0.0,-0.030362644662636162
frictionless,original,ALL,ETH,full,0.13078534723441515,0.7677352664260679,0.18118858417554576,-0.2915066120447444,0.448653107101188,2.090296820721562,0.029666818804198997,21.67136689968417,0.0,-0.16485702570955652
frictionless,original,ALL,ETH,2020_2022,0.07866060147953813,0.47577383254584027,0.2027456405974014,-0.2915066120447444,0.26984156869643916,1.2550960337154322,0.032846715328467155,23.99418184398557,0.0,-0.16485702570955652
frictionless,original,ALL,ETH,2023_end,0.18548003820678516,1.159854527174326,0.15673310857362938,-0.15286160579288688,1.2133853837574702,1.6654477144140947,0.026484018264840183,19.346430663196184,0.0,-0.06908757048174907
frictionless,original,ALL,ETH,2020,0.17683778873694211,1.8188719564060345,0.09172419570797859,-0.07589812691752007,2.329936138333362,1.1772313364053488,0.02459016393442623,17.961989828350443,0.0,-0.01881565880938707
