policy,omitted_years,remaining_days,cash_excess_sharpe
trend_vol40_band2,2024,2189,0.81824384414277085
trend_vol40_band2,2018+2022,1827,1.4309524345638969
allocation_vol40_band2,2018,2192,1.2155406627169436
allocation_vol40_band2,2019,2190,0.80268914883401121
allocation_vol40_band2,2020,2189,0.50104833747030064
allocation_vol40_band2,2021,2190,0.68578663113895544
allocation_vol40_band2,2022,2190,1.168668271655918
allocation_vol40_band2,2023,2190,0.6481084884397853
allocation_vol40_band2,2024,2189,0.7254976072834971
allocation_vol40_band2,2018+2022,1827,1.711553271812684
fixed_blend_vol40_band2,2018,2192,1.2238313800538529
fixed_blend_vol40_band2,2019,2190,0.88786317410007209
fixed_blend_vol40_band2,2020,2189,0.57054266706207091
fixed_blend_vol40_band2,2021,2190,0.74296754566133116
fixed_blend_vol40_band2,2022,2190,1.1614889759388998
fixed_blend_vol40_band2,2023,2190,0.76989919603173995
fixed_blend_vol40_band2,2024,2189,0.79652836557080076
fixed_blend_vol40_band2,2018+2022,1827,1.5990362182849913
state_rule_vol40_band2,2018,2192,1.1746099909457974
state_rule_vol40_band2,2019,2190,0.96481516505218412
state_rule_vol40_band2,2020,2189,0.63868483474807614
state_rule_vol40_band2,2021,2190,0.77803542098621636
state_rule_vol40_band2,2022,2190,1.1299268097040931
state_rule_vol40_band2,2023,2190,0.86660530348820297
state_rule_vol40_band2,2024,2189,0.8559956911360227
state_rule_vol40_band2,2018+2022,1827,1.4464775951809041
btc_buy_hold,2018,2192,1.1465352679515723
btc_buy_hold,2019,2190,0.63281312928444755
btc_buy_hold,2020,2189,0.44409237589926531
btc_buy_hold,2021,2190,0.68048199752007266
btc_buy_hold,2022,2190,1.0382977322129925
btc_buy_hold,2023,2190,0.5719664839997487
btc_buy_hold,2024,2189,0.60716967290226065
btc_buy_hold,2018+2022,1827,1.6151106224367164
eth_buy_hold,2018,2192,1.070390512647247
eth_buy_hold,2019,2190,0.7084712910440627
eth_buy_hold,2020,2189,0.35525176689554955
eth_buy_hold,2021,2190,0.37855258864581642
eth_buy_hold,2022,2190,0.91612304038568959
eth_buy_hold,2023,2190,0.59968310429379035
eth_buy_hold,2024,2189,0.64182082195433543
eth_buy_hold,2018+2022,1827,1.4722633870964259
mix_buy_hold,2018,2192,1.1225253136202142
mix_buy_hold,2019,2190,0.64017754918385594
mix_buy_hold,2020,2189,0.39424560248422685
mix_buy_hold,2021,2190,0.51656583707562109
mix_buy_hold,2022,2190,0.98772123767076114
mix_buy_hold,2023,2190,0.57461369083557268
mix_buy_hold,2024,2189,0.61067044049111574
mix_buy_hold,2018+2022,1827,1.5931055588656073
usd_cash,2018,2192,
usd_cash,2019,2190,
usd_cash,2020,2189,
usd_cash,2021,2190,
usd_cash,2022,2190,
usd_cash,2023,2190,
usd_cash,2024,2189,
usd_cash,2018+2022,1827,
