policy,comparator,base_cagr_difference,frictionless_cagr_difference,base_sharpe_difference,frictionless_sharpe_difference,annual_turnover_saved,annual_arithmetic_fee_drag_saved
state_rule_vol20_exact,trend_vol20_exact,0.0078489659775771159,0.003084893639298425,0.031168159508660365,0.0099163993379116633,1.3705159914115326,0.0041115178274132823
state_rule_vol20_band2,trend_vol20_band2,0.0081432922602397984,0.0032289663807198998,0.03350518986876394,0.011544908319615299,1.4082668759358379,0.0042247690149578646
state_rule_vol40_exact,trend_vol40_exact,0.017257292394702306,0.0091631511044008018,0.02334548137555581,0.00289431411669272,2.1585919575935275,0.0064757212985379481
state_rule_vol40_band2,trend_vol40_band2,0.017977943745022484,0.0099300375850197575,0.024990057633635265,0.0047883578532265103,2.1403374621346902,0.0064209610625555642
