policy,family,profile,band,role,scenario,period,first_date,last_date,executed_rebalances,skipped_rebalances,cagr,cash_excess_sharpe,max_drawdown,annual_volatility,calmar,certainty_equivalent_gamma3,terminal_nav,mean_risky_exposure,annual_one_way_turnover,annual_arithmetic_execution_drag,worst_day,longest_underwater_days
fixed_blend_vol20_exact,fixed_blend,0.20000000000000001,0,candidate,frictionless,full,2018-01-03,2024-12-31,2555,0,0.18880593851000893,0.95173358872615121,-0.31291348160351884,0.2033167214925273,0.60338064548218473,0.13149681913641356,3.3512840837936113,0.29379477962414019,5.238686037580929,0,-0.10930108832233243,753
fixed_blend_vol20_exact,fixed_blend,0.20000000000000001,0,candidate,frictionless,2018_2019,2018-01-03,2019-12-31,728,0,-0.062462009203714364,-0.24555956833142165,-0.31291348160351884,0.18926685483298558,-0.19961431154589138,-0.10020920067978946,0.87952090469226196,0.23406405013738305,4.7160401226218172,0,-0.054945478076609988,528
fixed_blend_vol20_exact,fixed_blend,0.20000000000000001,0,candidate,frictionless,2020_2021,2020-01-01,2021-12-31,731,0,0.57763435009941366,2.1098258073108056,-0.18917868147121841,0.22822683138193395,3.0533797233769957,0.40338762892641944,2.487377212966932,0.27002183316413819,4.6809989429767782,0,-0.10930108832233243,161
fixed_blend_vol20_exact,fixed_blend,0.20000000000000001,0,candidate,frictionless,2022_2024,2022-01-01,2024-12-31,1096,0,0.15287820906795213,0.82876207091009724,-0.21189506893731425,0.1940339214433997,0.72148073022491477,0.10433421055618394,1.5318753442533859,0.34932579689477944,5.9670445136644625,0,-0.047326468698641322,556
fixed_blend_vol20_exact,fixed_blend,0.20000000000000001,0,candidate,frictionless,2020_2024_carry,2020-01-01,2024-12-31,1827,0,0.30679939173248139,1.3867639186722245,-0.27467641212126914,0.2084907317521964,1.1169484462212576,0.22392484633166607,3.8103518244017462,0.31759553007097058,5.4496401811805208,0,-0.10930108832233243,753
state_rule_vol20_exact,state_rule,0.20000000000000001,0,candidate,frictionless,full,2018-01-03,2024-12-31,2555,0,0.2004546845561046,1.0278664790803711,-0.25553341605235147,0.19639452206591601,0.78445585572666232,0.14401113346031602,3.5877567776085026,0.27172886751846848,6.2949895126416564,0,-0.11180996597552073,730
state_rule_vol20_exact,state_rule,0.20000000000000001,0,candidate,frictionless,2018_2019,2018-01-03,2019-12-31,728,0,-0.042263223060735378,-0.15015375176426063,-0.25553341605235147,0.1797076051368702,-0.16539215776020799,-0.075426006147915281,0.91763936850896821,0.21051938822888966,6.3254012423809627,0,-0.05352529538779971,523
state_rule_vol20_exact,state_rule,0.20000000000000001,0,candidate,frictionless,2020_2021,2020-01-01,2021-12-31,731,0,0.56834871275380383,2.0853476209136455,-0.19254286141329902,0.2280691921725633,2.9518036066464513,0.39758021267338345,2.458202846528116,0.26939403670691631,5.0540067897447214,0,-0.11180996597552073,161
state_rule_vol20_exact,state_rule,0.20000000000000001,0,candidate,frictionless,2022_2024,2022-01-01,2024-12-31,1096,0,0.16741093899571458,0.93440194176294256,-0.16183770672307474,0.18332997846764781,1.0344371678608641,0.12088906635610625,1.5904984086951925,0.31394352285246302,7.1136178589609003,0,-0.046969293596736406,462
state_rule_vol20_exact,state_rule,0.20000000000000001,0,candidate,frictionless,2020_2024_carry,2020-01-01,2024-12-31,1827,0,0.31354938570943314,1.4471179411873734,-0.21816352185138654,0.20251083529528988,1.437221873980489,0.23154110542266115,3.9097677156529604,0.29611885160320484,6.2863288675114068,0,-0.11180996597552073,730
trend_vol20_band2,trend,0.20000000000000001,0.02,control,frictionless,full,2018-01-03,2024-12-31,1054,1501,0.19743529134211069,1.0291069728513105,-0.24908535530261999,0.19306488333796842,0.79264110530400966,0.14277334388837309,3.5251305821881669,0.26750286338387996,6.8766411896920436,0,-0.10339869769421994,752
trend_vol20_band2,trend,0.20000000000000001,0.02,control,frictionless,2018_2019,2018-01-03,2019-12-31,272,456,-0.032896622431250133,-0.1009582417528376,-0.24908535530261999,0.17661265407847976,-0.13206967704417311,-0.064618547398032578,0.93558878170955262,0.20747608472437029,5.9476728059313899,0,-0.051290974082871754,523
trend_vol20_band2,trend,0.20000000000000001,0.02,control,frictionless,2020_2021,2020-01-01,2021-12-31,371,360,0.56126136199605248,2.0991912989761072,-0.18124096897855391,0.22393708760446829,3.096768711617659,0.39486505701019314,2.4360509662384668,0.26373413566370163,5.778548802151783,0,-0.10339869769421994,161
