policy,comparator,scenario,period,cagr_difference,sharpe_difference,drawdown_difference,volatility_difference
fixed_blend_vol20_band2,state_rule_vol20_band2,base,2018_2019,-0.01802882932588834,-0.084165833415318858,-0.053213574554017984,0.0091112814621059079
fixed_blend_vol20_band2,trend_vol20_band2,base,2020_2021,0.01849860952504323,0.045857862133975136,-0.0030571087701010136,0.0009317513295605262
fixed_blend_vol20_band2,allocation_vol20_band2,base,2020_2021,-0.0092687379174818396,-0.020966155877625958,0.0031249097282406435,-0.0006698800560684115
fixed_blend_vol20_band2,state_rule_vol20_band2,base,2020_2021,0.0099275914221452766,0.024581902746547701,0.0031249097282411986,0.00047434789921843579
fixed_blend_vol20_band2,trend_vol20_band2,base,2022_2024,0.0051063546895036005,-0.011558757600440561,-0.053639615386249506,0.011764990148090682
fixed_blend_vol20_band2,allocation_vol20_band2,base,2022_2024,0.00061804114664365528,0.059551176389769478,0.065421256423380592,-0.022606497934495512
fixed_blend_vol20_band2,state_rule_vol20_band2,base,2022_2024,-0.0084042258938787917,-0.074005001873851173,-0.05383079863972462,0.010806315333854788
fixed_blend_vol20_band2,trend_vol20_band2,base,2020_2024_carry,0.0096026571283693851,-0.0011523411465972355,-0.049168847106957347,0.0069092856800155311
fixed_blend_vol20_band2,allocation_vol20_band2,base,2020_2024_carry,-0.002640317572034423,0.057563071635119645,0.060430896159145542,-0.013262047451785053
fixed_blend_vol20_band2,state_rule_vol20_band2,base,2020_2024_carry,-0.0024008762788221283,-0.043991696225165855,-0.049219580834676924,0.006188808583041272
state_rule_vol20_band2,trend_vol20_band2,base,full,0.0081432922602397984,0.03350518986876394,0.0025282445609638993,0.00059531145008615005
state_rule_vol20_band2,allocation_vol20_band2,base,full,0.012168790305577382,0.12537499696276233,0.11469146560924881,-0.022309432912772459
state_rule_vol20_band2,fixed_blend_vol20_band2,base,full,0.0079853845239759025,0.060113854559394442,0.053213574554017984,-0.0069557032893554915
state_rule_vol20_band2,trend_vol20_band2,base,2018_2019,0.00074497431853870477,0.0049023721177561264,0.0025282445609638993,0.00021629936220177171
state_rule_vol20_band2,allocation_vol20_band2,base,2018_2019,0.034396151039102096,0.12064666660005002,0.11469146560924881,-0.030182956966172458
state_rule_vol20_band2,fixed_blend_vol20_band2,base,2018_2019,0.01802882932588834,0.084165833415318858,0.053213574554017984,-0.0091112814621059079
state_rule_vol20_band2,trend_vol20_band2,base,2020_2021,0.0085710181028979537,0.021275959387427434,-0.0061820184983422122,0.00045740343034209041
state_rule_vol20_band2,allocation_vol20_band2,base,2020_2021,-0.019196329339627116,-0.04554805862417366,-5.5511151231257827e-16,-0.0011442279552868473
state_rule_vol20_band2,fixed_blend_vol20_band2,base,2020_2021,-0.0099275914221452766,-0.024581902746547701,-0.0031249097282411986,-0.00047434789921843579
state_rule_vol20_band2,trend_vol20_band2,base,2022_2024,0.013510580583382392,0.062446244273410612,0.00019118325347511345,0.00095867481423589362
state_rule_vol20_band2,allocation_vol20_band2,base,2022_2024,0.009022267040522447,0.13355617826362065,0.11925205506310521,-0.0334128132683503
state_rule_vol20_band2,fixed_blend_vol20_band2,base,2022_2024,0.0084042258938787917,0.074005001873851173,0.05383079863972462,-0.010806315333854788
state_rule_vol20_band2,trend_vol20_band2,base,2020_2024_carry,0.012003533407191513,0.042839355078568619,5.0733727719576294e-05,0.0007204770969742591
state_rule_vol20_band2,allocation_vol20_band2,base,2020_2024_carry,-0.00023944129321229468,0.1015547678602855,0.10965047699382247,-0.019450856034826325
state_rule_vol20_band2,fixed_blend_vol20_band2,base,2020_2024_carry,0.0024008762788221283,0.043991696225165855,0.049219580834676924,-0.006188808583041272
fixed_blend_vol40_exact,trend_vol40_exact,base,full,0.013259404683388265,-0.016064248455472163,-0.11084556472657092,0.031535968140262438
fixed_blend_vol40_exact,allocation_vol40_exact,base,full,0.001706526933793695,0.059635849617197256,0.12599633379181574,-0.05357809440188227
fixed_blend_vol40_exact,state_rule_vol40_exact,base,full,-0.003997887711314041,-0.039409729831027973,-0.10924613685293716,0.022072774570762621
fixed_blend_vol40_exact,trend_vol40_exact,base,2018_2019,-0.053088969942601483,-0.10162220870022065,-0.13674998854857701,0.048984643179281917
fixed_blend_vol40_exact,allocation_vol40_exact,base,2018_2019,0.061842257480198448,0.051622661818715776,0.12599633379181574,-0.07776321275628173
fixed_blend_vol40_exact,state_rule_vol40_exact,base,2018_2019,-0.051932663008108504,-0.097866202544243469,-0.13987037712068695,0.048670152387708776
fixed_blend_vol40_exact,trend_vol40_exact,base,2020_2021,0.12393649745178781,0.11171234475960068,-0.0053940172923060414,0.0049479531852140712
fixed_blend_vol40_exact,allocation_vol40_exact,base,2020_2021,-0.12437128451667068,-0.094252428941950628,0.0054770539263671036,-0.007353655509608592
fixed_blend_vol40_exact,state_rule_vol40_exact,base,2020_2021,0.092300175735624546,0.086866468868097346,0.0054770539263671036,0.0020794399173744704
fixed_blend_vol40_exact,trend_vol40_exact,base,2022_2024,0.030708809347426591,0.031082453809473387,-0.097261012090707366,0.045470963798570463
fixed_blend_vol40_exact,allocation_vol40_exact,base,2022_2024,-0.013005796652982626,0.027088606670436,0.1255184513640677,-0.074431055288130266
fixed_blend_vol40_exact,state_rule_vol40_exact,base,2022_2024,0.0046871357749982412,-0.013217041157271181,-0.073318587092342513,0.023661665238329743
fixed_blend_vol40_exact,trend_vol40_exact,base,2020_2024_carry,0.057947951719390156,0.041707529004571642,-0.096918706823466261,0.025774235621205899
fixed_blend_vol40_exact,allocation_vol40_exact,base,2020_2024_carry,-0.043944729696999252,0.023450476267299347,0.10522427299085835,-0.044749427350425919
fixed_blend_vol40_exact,state_rule_vol40_exact,base,2020_2024_carry,0.029339389679242878,0.019201562021643692,-0.10574942884765803,0.013393830504566717
