training_mse,validation_mse,validation_rows,training_rows,training_dates,last_training_outcome,first_validation_signal,warnings,candidate,outer_year,validation_year,stage
0.00028455500945464825,0.0007650499897616541,156,1722,574,2017-01-05 00:00:00+00:00,2017-01-06 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp32,2019,2017,inner
0.0002701313924491448,0.00028602314732866413,156,1722,574,2017-01-05 00:00:00+00:00,2017-01-06 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence16,2019,2017,inner
8.73352891814392e-05,0.0004531429790038071,156,1722,574,2017-01-05 00:00:00+00:00,2017-01-06 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence32,2019,2017,inner
0.0003654490478294661,0.000559759359063989,153,2475,825,2018-01-04 00:00:00+00:00,2018-01-05 00:00:00+00:00,,ridge1,2019,2018,inner
0.00036552517890977226,0.0005551455090020179,153,2475,825,2018-01-04 00:00:00+00:00,2018-01-05 00:00:00+00:00,,ridge100,2019,2018,inner
0.00033569457326647746,0.0005553615493497551,153,2475,825,2018-01-04 00:00:00+00:00,2018-01-05 00:00:00+00:00,,gbm2,2019,2018,inner
0.00030921142679335006,0.0005575815169324508,153,2475,825,2018-01-04 00:00:00+00:00,2018-01-05 00:00:00+00:00,,gbm3,2019,2018,inner
0.0003246199364543875,0.0006088327001254133,153,2475,825,2018-01-04 00:00:00+00:00,2018-01-05 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp16,2019,2018,inner
0.00023714283813753203,0.0006824184649152278,153,2475,825,2018-01-04 00:00:00+00:00,2018-01-05 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp32,2019,2018,inner
0.0002397540432826525,0.0007184470079673357,153,2475,825,2018-01-04 00:00:00+00:00,2018-01-05 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence16,2019,2018,inner
9.966190413471896e-05,0.0008397722242253535,153,2475,825,2018-01-04 00:00:00+00:00,2018-01-05 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence32,2019,2018,inner
0.0004061401236734712,0.00030680064748629405,156,3225,1075,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,,ridge1,2019,2019,outer
0.00040615139925163083,0.00030670427611055676,156,3225,1075,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,,ridge100,2019,2019,outer
0.0003807217037609667,0.000309844287785996,156,3225,1075,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,,gbm2,2019,2019,outer
0.0003588500860899408,0.0003171569808301994,156,3225,1075,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,,gbm3,2019,2019,outer
0.0003739215149891488,0.00035045538662298114,156,3225,1075,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp16,2019,2019,outer
0.00029365208808240014,0.00042483742285844895,156,3225,1075,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp32,2019,2019,outer
0.00029341223719239366,0.0003329771408440262,156,3225,1075,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence16,2019,2019,outer
0.00014739412534265804,0.000428509614318352,156,3225,1075,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence32,2019,2019,outer
0.0003654490478294661,0.0005517189916585887,156,2475,825,2018-01-04 00:00:00+00:00,2018-01-05 00:00:00+00:00,,ridge1,2020,2018,inner
0.00036552517890977226,0.0005474462951128247,156,2475,825,2018-01-04 00:00:00+00:00,2018-01-05 00:00:00+00:00,,ridge100,2020,2018,inner
0.00033569457326647746,0.0005508246085430864,156,2475,825,2018-01-04 00:00:00+00:00,2018-01-05 00:00:00+00:00,,gbm2,2020,2018,inner
0.00030921142679335006,0.0005525924274129302,156,2475,825,2018-01-04 00:00:00+00:00,2018-01-05 00:00:00+00:00,,gbm3,2020,2018,inner
0.0003246199364543875,0.0006007950365727177,156,2475,825,2018-01-04 00:00:00+00:00,2018-01-05 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp16,2020,2018,inner
0.00023714283813753203,0.0006777839474323284,156,2475,825,2018-01-04 00:00:00+00:00,2018-01-05 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp32,2020,2018,inner
0.0002397540432826525,0.0007099463665411099,156,2475,825,2018-01-04 00:00:00+00:00,2018-01-05 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence16,2020,2018,inner
9.966190413471896e-05,0.0008379948210543078,156,2475,825,2018-01-04 00:00:00+00:00,2018-01-05 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence32,2020,2018,inner
