scenario,policy,period,observations,first_date,last_date,cagr,annualized_mean_return,annualized_volatility,excess_sharpe,calmar,max_drawdown,longest_underwater_sessions,worst_day,expected_shortfall_95,certainty_equivalent_gamma3,spy_beta,descriptive_alpha_annual,positive_day_fraction,annual_one_way_turnover,mean_gross_exposure,max_gross_exposure,mean_net_exposure,rebalances,annual_execution_drag,annual_funding_drag,annual_borrow_drag,pareto_cagr_sharpe_drawdown,role,family
base,dual_momentum_252_g150,2008_2016,2142,2008-07-01,2016-12-30,0.0553077351788,0.0659200430095,0.155247054943,0.421849275374,0.237568600154,-0.232807429698,501,-0.054783711242,-0.023761490901,0.0297675709067,0.218167709577,0.0412968785341,0.53781512605,9.54670496442,1.24300198601,1.57317789976,1.24300198601,103,0.00478166955411,0.00439309033163,0,False,candidate,dual_momentum
base,dual_momentum_252_g150,2017_2024,2012,2017-01-03,2024-12-31,0.085356814178,0.0957107477721,0.16511737618,0.45816920363,0.290712937004,-0.293612025174,749,-0.0597096546353,-0.0259127503725,0.0548151258971,0.501036197755,0.00798887295478,0.556660039761,8.56864536552,1.15849508124,1.5846135303,1.15849508124,97,0.00429059268789,0.00912384397106,0,False,candidate,dual_momentum
base,dual_momentum_63_g100,full,4154,2008-07-01,2024-12-31,0.0675349967912,0.0729837625803,0.122739506866,0.51349802398,0.287557030122,-0.234857748956,746,-0.0434870107435,-0.0189523950996,0.0503862827618,0.20704266781,0.0376611603645,0.543331728455,10.3020482151,0.905524958129,1,0.905524958129,200,0.00515004609306,8.40418572359e-17,0,True,candidate,dual_momentum
base,dual_momentum_63_g100,2008_2016,2142,2008-07-01,2016-12-30,0.0644947775314,0.0700010778494,0.122340335538,0.56814708534,0.274612091013,-0.234857748956,485,-0.0417163207822,-0.018212815464,0.0475503413,0.158891752941,0.0519246992127,0.541083099907,10.1685833922,0.925016996035,1,0.925016996035,103,0.00508276957654,5.95216983379e-17,0,True,candidate,dual_momentum
base,dual_momentum_63_g100,2017_2024,2012,2017-01-03,2024-12-31,0.0708492561083,0.0761591655095,0.123193153787,0.455602349104,0.409987284072,-0.172808423239,643,-0.0434870107435,-0.0196705548924,0.0533943357995,0.277411019863,0.01863527548,0.545725646123,10.4545531534,0.884773494314,1,0.884773494314,97,0.00522687613486,1.10201863726e-16,0,False,candidate,dual_momentum
base,dual_momentum_63_g150,full,4154,2008-07-01,2024-12-31,0.0737462105479,0.0836350860387,0.157173835252,0.468821044715,0.245039672244,-0.300956207917,739,-0.067103650185,-0.0241585196468,0.0465796643072,0.243611643856,0.0438380015764,0.541646605681,13.2202286554,1.1915199145,1.58779230858,1.1915199145,200,0.00660940660896,0.00686280546406,0,True,candidate,dual_momentum
base,dual_momentum_63_g150,2008_2016,2142,2008-07-01,2016-12-30,0.0741317569528,0.0829667261164,0.151168567007,0.545744628138,0.246320743692,-0.300956207917,485,-0.0462976060533,-0.0223368132029,0.0486888226398,0.173805435592,0.063243192513,0.540149393091,12.8527856625,1.20264146691,1.54452290861,1.20264146691,103,0.00642593355047,0.0042844817919,0,True,candidate,dual_momentum
base,dual_momentum_63_g150,2017_2024,2012,2017-01-03,2024-12-31,0.0734148562814,0.0843466302503,0.163362402162,0.393664027019,0.292641815701,-0.250869330159,712,-0.067103650185,-0.0260153519651,0.04431571859,0.345623386488,0.0176114518091,0.54324055666,13.6245338537,1.17967977272,1.58779230858,1.17967977272,97,0.00681129430295,0.00961153266216,0,False,candidate,dual_momentum
base,fixed_blend_g100,full,4154,2008-07-01,2024-12-31,0.0142111723736,0.0154597292291,0.0515757731563,0.105665203092,0.120110763774,-0.118317225926,710,-0.0342006764722,-0.00807843540241,0.0114696386641,0.115563417177,-0.00866971618719,0.531295137217,32.7726470153,0.650606254256,1.0123512903,0.329823634919,862,0.0163898250738,2.91398552039e-05,0.00160590563378,False,candidate,fixed_blend
base,fixed_blend_g100,2008_2016,2142,2008-07-01,2016-12-30,0.00985803419201,0.011095091064,0.0506733592788,0.206978358415,0.11033658001,-0.0893451128456,556,-0.0144630653912,-0.00786392381075,0.00724340705306,0.094491014755,0.000131509329977,0.529878618114,32.8894788146,0.65730631281,0.926385703192,0.332276884466,444,0.0164477626157,2.1421488496e-05,0.00162747289593,False,candidate,fixed_blend
base,fixed_blend_g100,2017_2024,2012,2017-01-03,2024-12-31,0.018875467647,0.0201063768184,0.0525304933943,0.000830487606542,0.159532709623,-0.118317225926,710,-0.0342006764722,-0.00826587951147,0.015967197714,0.146366784458,-0.0197215101734,0.532803180915,32.6820837292,0.643473289334,1.0123512903,0.327211875213,418,0.0163450556928,3.73771662291e-05,0.00158462185567,False,candidate,fixed_blend
base,fixed_blend_g150,full,4154,2008-07-01,2024-12-31,0.0107486962254,0.0130207519778,0.0680147348042,0.0444006424782,0.0614284477318,-0.174979128113,835,-0.0418782888018,-0.0106617802265,0.00608174575205,0.1463741595,-0.0148786135848,0.529128550794,47.9845205689,0.914803405658,1.41355404489,0.438331885467,862,0.0239983352189,8.57362802692e-05,0.00238513409748,False,candidate,fixed_blend
base,fixed_blend_g150,2008_2016,2142,2008-07-01,2016-12-30,0.0115293300406,0.0135871624041,0.0651396364086,0.198949190784,0.106212094503,-0.108550067622,599,-0.0206173144076,-0.0100461845255,0.00722240405693,0.116721933022,0.000168267096957,0.532679738562,48.1921193031,0.91596352623,1.31340495832,0.434368210863,444,0.0241019603756,3.85255877475e-05,0.00241077129094,False,candidate,fixed_blend
base,fixed_blend_g150,2017_2024,2012,2017-01-03,2024-12-31,0.00993035861013,0.0124177444563,0.0709639456411,-0.107715020753,0.0567516749982,-0.174979128113,835,-0.0418782888018,-0.0112600214051,0.00486392208488,0.189727615076,-0.0332655194466,0.525347912525,47.81306834,0.913568326998,1.41355404489,0.442551662306,418,0.0239128005935,0.000136026146406,0.00236032311001,False,candidate,fixed_blend
