policy,scenario,period,original_positive_day_fraction,corrected_positive_day_fraction
dual_momentum_252_g150,cost_stress,2008_2016,0.532679738562,0.532679738562
dual_momentum_252_g150,cost_stress,2017_2024,0.553677932406,0.553677932406
dual_momentum_63_g100,cost_stress,full,0.540202214733,0.540202214733
dual_momentum_63_g100,cost_stress,2008_2016,0.53781512605,0.53781512605
dual_momentum_63_g100,cost_stress,2017_2024,0.542743538767,0.542743538767
dual_momentum_63_g150,cost_stress,full,0.538276360135,0.538276360135
dual_momentum_63_g150,cost_stress,2008_2016,0.536414565826,0.536414565826
dual_momentum_63_g150,cost_stress,2017_2024,0.540258449304,0.540258449304
fixed_blend_g100,cost_stress,full,0.510832932114,0.510832932114
fixed_blend_g100,cost_stress,2008_2016,0.510737628385,0.510737628385
fixed_blend_g100,cost_stress,2017_2024,0.510934393638,0.510934393638
fixed_blend_g150,cost_stress,full,0.505296100144,0.505296100144
fixed_blend_g150,cost_stress,2008_2016,0.508870214753,0.508870214753
fixed_blend_g150,cost_stress,2017_2024,0.501491053678,0.501491053678
raw_sector_reversal_g100,cost_stress,full,0.446316803081,0.446316803081
raw_sector_reversal_g100,cost_stress,2008_2016,0.436974789916,0.436974789916
raw_sector_reversal_g100,cost_stress,2017_2024,0.456262425447,0.456262425447
raw_sector_reversal_g150,cost_stress,full,0.44727973038,0.44727973038
raw_sector_reversal_g150,cost_stress,2008_2016,0.44070961718,0.44070961718
raw_sector_reversal_g150,cost_stress,2017_2024,0.454274353877,0.454274353877
sector_reversal_10_g100,cost_stress,full,0.441020702937,0.441020702937
sector_reversal_10_g100,cost_stress,2008_2016,0.441176470588,0.441176470588
sector_reversal_10_g100,cost_stress,2017_2024,0.440854870775,0.440854870775
sector_reversal_10_g150,cost_stress,full,0.439335580164,0.439335580164
sector_reversal_10_g150,cost_stress,2008_2016,0.441176470588,0.441176470588
sector_reversal_10_g150,cost_stress,2017_2024,0.437375745527,0.437375745527
sector_reversal_3_g100,cost_stress,full,0.430909966298,0.430909966298
sector_reversal_3_g100,cost_stress,2008_2016,0.428571428571,0.428571428571
sector_reversal_3_g100,cost_stress,2017_2024,0.433399602386,0.433399602386
sector_reversal_3_g150,cost_stress,full,0.429465575349,0.429465575349
sector_reversal_3_g150,cost_stress,2008_2016,0.429038281979,0.429038281979
sector_reversal_3_g150,cost_stress,2017_2024,0.429920477137,0.429920477137
sector_reversal_5_g100,cost_stress,full,0.422484352431,0.422484352431
sector_reversal_5_g100,cost_stress,2008_2016,0.415499533147,0.415499533147
sector_reversal_5_g100,cost_stress,2017_2024,0.429920477137,0.429920477137
sector_reversal_5_g150,cost_stress,full,0.41887337506,0.41887337506
sector_reversal_5_g150,cost_stress,2008_2016,0.415032679739,0.415032679739
sector_reversal_5_g150,cost_stress,2017_2024,0.42296222664,0.42296222664
spy_buy_hold,cost_stress,full,0.55223880597,0.55223880597
spy_buy_hold,cost_stress,2008_2016,0.549953314659,0.549953314659
spy_buy_hold,cost_stress,2017_2024,0.554671968191,0.554671968191
