period,asset,model,bin,lower,upper,rows,mean_probability,event_fraction
2018_2020,SPY,gbm,0,0.0,0.2,124,0.10493621065608118,0.1935483870967742
2018_2020,SPY,gbm,1,0.2,0.4,33,0.25946717656371954,0.21212121212121213
2018_2020,SPY,gbm,2,0.4,0.6,0,,
2018_2020,SPY,gbm,3,0.6,0.8,0,,
2018_2020,SPY,gbm,4,0.8,1.0,0,,
2018_2020,SPY,past_frequency,0,0.0,0.2,157,0.10515896911614286,0.19745222929936307
2018_2020,SPY,past_frequency,1,0.2,0.4,0,,
2018_2020,SPY,past_frequency,2,0.4,0.6,0,,
2018_2020,SPY,past_frequency,3,0.6,0.8,0,,
2018_2020,SPY,past_frequency,4,0.8,1.0,0,,
2018_2020,QQQ,logistic,0,0.0,0.2,88,0.11188141584940453,0.23863636363636365
2018_2020,QQQ,logistic,1,0.2,0.4,59,0.27688795076097317,0.2711864406779661
2018_2020,QQQ,logistic,2,0.4,0.6,5,0.4996379407591318,0.4
2018_2020,QQQ,logistic,3,0.6,0.8,2,0.7859805480591818,0.0
2018_2020,QQQ,logistic,4,0.8,1.0,3,0.867165517525005,0.0
2018_2020,QQQ,gbm,0,0.0,0.2,94,0.12319863572484897,0.23404255319148937
2018_2020,QQQ,gbm,1,0.2,0.4,61,0.2680782076682337,0.2786885245901639
2018_2020,QQQ,gbm,2,0.4,0.6,2,0.41317563120003664,0.0
2018_2020,QQQ,gbm,3,0.6,0.8,0,,
2018_2020,QQQ,gbm,4,0.8,1.0,0,,
2018_2020,QQQ,past_frequency,0,0.0,0.2,157,0.17261859442813565,0.2484076433121019
2018_2020,QQQ,past_frequency,1,0.2,0.4,0,,
2018_2020,QQQ,past_frequency,2,0.4,0.6,0,,
2018_2020,QQQ,past_frequency,3,0.6,0.8,0,,
2018_2020,QQQ,past_frequency,4,0.8,1.0,0,,
2018_2020,GLD,logistic,0,0.0,0.2,122,0.11697995236303299,0.06557377049180328
2018_2020,GLD,logistic,1,0.2,0.4,34,0.26498679633392347,0.058823529411764705
2018_2020,GLD,logistic,2,0.4,0.6,1,0.41455435786342837,0.0
2018_2020,GLD,logistic,3,0.6,0.8,0,,
2018_2020,GLD,logistic,4,0.8,1.0,0,,
2018_2020,GLD,gbm,0,0.0,0.2,129,0.11783469199854257,0.05426356589147287
2018_2020,GLD,gbm,1,0.2,0.4,28,0.28010582350876057,0.10714285714285714
2018_2020,GLD,gbm,2,0.4,0.6,0,,
2018_2020,GLD,gbm,3,0.6,0.8,0,,
2018_2020,GLD,gbm,4,0.8,1.0,0,,
2018_2020,GLD,past_frequency,0,0.0,0.2,157,0.13801950201833932,0.06369426751592357
2018_2020,GLD,past_frequency,1,0.2,0.4,0,,
2018_2020,GLD,past_frequency,2,0.4,0.6,0,,
2018_2020,GLD,past_frequency,3,0.6,0.8,0,,
2018_2020,GLD,past_frequency,4,0.8,1.0,0,,
2021_2024,pooled,logistic,0,0.0,0.2,477,0.1351056371861055,0.1761006289308176
