asset,timeframe,year,candidate,benchmark,metric,candidate_loss,benchmark_loss,relative_improvement
BTC,1,2020,boosted_volatility,linear_volatility,log_variance_mse,0.9526851357035693,0.8549264645157256,-0.11434746173545962
BTC,1,2020,boosted_volatility,linear_volatility,variance_qlike,1.1090145908773714,0.8053580259663348,-0.3770454321190684
BTC,1,2020,boosted_augmented,linear_augmented,log_variance_mse,0.893084079245131,0.889481049248356,-0.00405071024258441
BTC,1,2020,boosted_augmented,linear_augmented,variance_qlike,0.8034980516438995,0.7548512446184749,-0.06444555450128764
BTC,1,2020,linear_augmented,linear_volatility,log_variance_mse,0.889481049248356,0.8549264645157256,-0.04041819520957746
BTC,1,2020,linear_augmented,linear_volatility,variance_qlike,0.7548512446184749,0.8053580259663348,0.06271345130913386
BTC,1,2020,boosted_augmented,boosted_volatility,log_variance_mse,0.893084079245131,0.9526851357035693,0.06256112772707656
BTC,1,2020,boosted_augmented,boosted_volatility,variance_qlike,0.8034980516438995,1.1090145908773714,0.2754846886115082
BTC,1,2020,boosted_augmented,ewma_calibrated,log_variance_mse,0.893084079245131,0.8622805097769768,-0.03572337437630524
BTC,1,2020,boosted_augmented,ewma_calibrated,variance_qlike,0.8034980516438995,0.8187406093328463,0.018617077881805888
BTC,1,2021,boosted_volatility,linear_volatility,log_variance_mse,0.5919826453368024,0.585336479883885,-0.011354435749905578
BTC,1,2021,boosted_volatility,linear_volatility,variance_qlike,0.5044750696857683,0.5186916852142355,0.02740860502245246
BTC,1,2021,boosted_augmented,linear_augmented,log_variance_mse,0.5583987007423872,0.583192660655464,0.042514183709394304
BTC,1,2021,boosted_augmented,linear_augmented,variance_qlike,0.4806639111786827,0.48548767087204164,0.009935905652752042
BTC,1,2021,linear_augmented,linear_volatility,log_variance_mse,0.583192660655464,0.585336479883885,0.0036625416356182994
BTC,1,2021,linear_augmented,linear_volatility,variance_qlike,0.48548767087204164,0.5186916852142355,0.06401493466871278
BTC,1,2021,boosted_augmented,boosted_volatility,log_variance_mse,0.5583987007423872,0.5919826453368024,0.05673129923480791
BTC,1,2021,boosted_augmented,boosted_volatility,variance_qlike,0.4806639111786827,0.5044750696857683,0.047199871585165365
BTC,1,2021,boosted_augmented,ewma_calibrated,log_variance_mse,0.5583987007423872,0.5882996158822531,0.05082599806736998
BTC,1,2021,boosted_augmented,ewma_calibrated,variance_qlike,0.4806639111786827,0.5248996425852541,0.08427464569931897
BTC,1,2022,boosted_volatility,linear_volatility,log_variance_mse,0.8318464223072306,0.8242597463826713,-0.0092042295621666
BTC,1,2022,boosted_volatility,linear_volatility,variance_qlike,0.49310323904510417,0.4914514505644951,-0.0033610410117048684
BTC,1,2022,boosted_augmented,linear_augmented,log_variance_mse,0.8255109620915224,0.8088798424647005,-0.020560680033941736
BTC,1,2022,boosted_augmented,linear_augmented,variance_qlike,0.4738174604118743,0.48087390727478513,0.014674214500223659
BTC,1,2022,linear_augmented,linear_volatility,log_variance_mse,0.8088798424647005,0.8242597463826713,0.01865905011795943
BTC,1,2022,linear_augmented,linear_volatility,variance_qlike,0.48087390727478513,0.4914514505644951,0.021523068611477902
BTC,1,2022,boosted_augmented,boosted_volatility,log_variance_mse,0.8255109620915224,0.8318464223072306,0.007616141688914113
BTC,1,2022,boosted_augmented,boosted_volatility,variance_qlike,0.4738174604118743,0.49310323904510417,0.03911103620121592
BTC,1,2022,boosted_augmented,ewma_calibrated,log_variance_mse,0.8255109620915224,0.833002747062674,0.008993709801761174
BTC,1,2022,boosted_augmented,ewma_calibrated,variance_qlike,0.4738174604118743,0.5019651447672635,0.05607497781233384
BTC,1,2023,boosted_volatility,linear_volatility,log_variance_mse,1.3078634201306862,1.285655907532514,-0.01727329409685807
BTC,1,2023,boosted_volatility,linear_volatility,variance_qlike,0.6607496477443292,0.6528887968410609,-0.01204010689309154
BTC,1,2023,boosted_augmented,linear_augmented,log_variance_mse,1.2066108868487886,1.23719471744512,0.024720304868007248
BTC,1,2023,boosted_augmented,linear_augmented,variance_qlike,0.5789661487209478,0.6048817426071406,0.04284406696504395
BTC,1,2023,linear_augmented,linear_volatility,log_variance_mse,1.23719471744512,1.285655907532514,0.03769374822879534
BTC,1,2023,linear_augmented,linear_volatility,variance_qlike,0.6048817426071406,0.6528887968410609,0.073530215966636
BTC,1,2023,boosted_augmented,boosted_volatility,log_variance_mse,1.2066108868487886,1.3078634201306862,0.07741827756890707
BTC,1,2023,boosted_augmented,boosted_volatility,variance_qlike,0.5789661487209478,0.6607496477443292,0.12377380646750913
BTC,1,2023,boosted_augmented,ewma_calibrated,log_variance_mse,1.2066108868487886,1.3087932853867696,0.07807374906250719
BTC,1,2023,boosted_augmented,ewma_calibrated,variance_qlike,0.5789661487209478,0.6649800967359313,0.12934815408338507
BTC,1,2024,boosted_volatility,linear_volatility,log_variance_mse,0.9130182339330593,0.9231864856084475,0.011014298664355548
BTC,1,2024,boosted_volatility,linear_volatility,variance_qlike,0.46322236175621445,0.4718882650541558,0.018364311935044286
BTC,1,2024,boosted_augmented,linear_augmented,log_variance_mse,0.8258973554000424,0.8656704320047589,0.045944825113881094
BTC,1,2024,boosted_augmented,linear_augmented,variance_qlike,0.42157810439844423,0.4604109001912335,0.08434378025511535
BTC,1,2024,linear_augmented,linear_volatility,log_variance_mse,0.8656704320047589,0.9231864856084475,0.06230166331538234
BTC,1,2024,linear_augmented,linear_volatility,variance_qlike,0.4604109001912335,0.4718882650541558,0.024322208694054215
BTC,1,2024,boosted_augmented,boosted_volatility,log_variance_mse,0.8258973554000424,0.9130182339330593,0.09542074330511607
BTC,1,2024,boosted_augmented,boosted_volatility,variance_qlike,0.42157810439844423,0.46322236175621445,0.08990122411164347
BTC,1,2024,boosted_augmented,ewma_calibrated,log_variance_mse,0.8258973554000424,0.9368207641390434,0.11840408857818363
BTC,1,2024,boosted_augmented,ewma_calibrated,variance_qlike,0.42157810439844423,0.48743541407935287,0.1351098171750551
BTC,1,2025,boosted_volatility,linear_volatility,log_variance_mse,0.9132658300936625,0.9105906620180536,-0.0029378382485059085
BTC,1,2025,boosted_volatility,linear_volatility,variance_qlike,0.40839636423519377,0.4099518653933382,0.0037943507261565257
BTC,1,2025,boosted_augmented,linear_augmented,log_variance_mse,0.8130987218037481,0.8334076959907163,0.024368594488230477
BTC,1,2025,boosted_augmented,linear_augmented,variance_qlike,0.39938365504529855,0.38867361021549207,-0.02755536920520152
BTC,1,2025,linear_augmented,linear_volatility,log_variance_mse,0.8334076959907163,0.9105906620180536,0.08476142930818575
BTC,1,2025,linear_augmented,linear_volatility,variance_qlike,0.38867361021549207,0.4099518653933382,0.05190427699952094
BTC,1,2025,boosted_augmented,boosted_volatility,log_variance_mse,0.8130987218037481,0.9132658300936625,0.10968012268633931
BTC,1,2025,boosted_augmented,boosted_volatility,variance_qlike,0.39938365504529855,0.40839636423519377,0.022068534343525292
BTC,1,2025,boosted_augmented,ewma_calibrated,log_variance_mse,0.8130987218037481,0.9154795301654284,0.1118329847781303
BTC,1,2025,boosted_augmented,ewma_calibrated,variance_qlike,0.39938365504529855,0.4165948568901537,0.04131400462630608
BTC,1,all,boosted_volatility,linear_volatility,log_variance_mse,0.9159517426255552,0.8958989157128298,-0.022382912358779095
BTC,1,all,boosted_volatility,linear_volatility,variance_qlike,0.5997315626068462,0.5549780968077861,-0.08064005779053351
