state_run_id,state_run_ordinal,regime_label,start_bar_index,end_bar_index,start_timestamp,end_timestamp,duration_bars,entered_from_regime_label,exited_to_regime_label
4dd6de7aee79e56e1792208225d6db02bf167d044d0ffb8e00c427506507b82d,26,VOL_COMPRESSION,343,347,2018-01-15T07:00:00,2018-01-15T11:00:00,5,TREND_DOWN,RANGE
d0c52a403d68faaf1e61978dbd5bff349d05be441f1d7280ae253728c0639300,27,RANGE,348,351,2018-01-15T12:00:00,2018-01-15T15:00:00,4,VOL_COMPRESSION,TREND_UP
dbf4014a590e34e5c6bf3e37984bd17ef71b504afdd704e1e969fe9d21adccf4,28,TREND_UP,352,358,2018-01-15T16:00:00,2018-01-15T22:00:00,7,RANGE,TREND_DOWN
706a7f166298241ac2fe05a43b0da418b478647a390875ffea9a0290fec2c146,29,TREND_DOWN,359,362,2018-01-15T23:00:00,2018-01-16T02:00:00,4,TREND_UP,VOL_EXPANSION
e59ac9a1ef059dc082e4d0bf46996154aac37d83a0cdc0747a91d90e10a871ad,30,VOL_EXPANSION,363,363,2018-01-16T03:00:00,2018-01-16T03:00:00,1,TREND_DOWN,TREND_DOWN
e2212b70978207b9768dbc310d2a4048e3c1f556db2e6eed8922d2f4e2736cbe,31,TREND_DOWN,364,367,2018-01-16T04:00:00,2018-01-16T07:00:00,4,VOL_EXPANSION,VOL_EXPANSION
868dd9e9ddeb80a9532218352b4c1bf0eec7178bea429d136b5029a52b8d763f,32,VOL_EXPANSION,368,368,2018-01-16T08:00:00,2018-01-16T08:00:00,1,TREND_DOWN,HIGH_VOL
548e7d46a879226c5d074fbfb84d914f30653714591bd3efaca0f6af6d149130,33,HIGH_VOL,369,417,2018-01-16T09:00:00,2018-01-18T09:00:00,49,VOL_EXPANSION,TREND_DOWN
db5c57b5b147db5e0ab86961e3bbd5869256cb8363ea1c20ef06c2d9a9f80b38,34,TREND_DOWN,418,420,2018-01-18T10:00:00,2018-01-18T12:00:00,3,HIGH_VOL,RANGE
1258d992cdc3b0d1c4a4e415098eaac4a37b9d8a26c42a3cae04a489f9786640,35,RANGE,421,431,2018-01-18T13:00:00,2018-01-18T23:00:00,11,TREND_DOWN,TREND_DOWN
59c40884e4bddbc144d1cada1b1269fb4f6fbfd6d13bec5efc371128a90ad4a8,36,TREND_DOWN,432,439,2018-01-19T00:00:00,2018-01-19T07:00:00,8,RANGE,RANGE
33c815139019ea1eda4c96e4dff37104e041efe006f2491eaeb01170887b1cb0,37,RANGE,440,442,2018-01-19T08:00:00,2018-01-19T10:00:00,3,TREND_DOWN,TREND_UP
1c0af150ea11871a137f5c0910e6e8ffbb173283de44a0b59115fb09b1f1d907,38,TREND_UP,443,449,2018-01-19T11:00:00,2018-01-19T17:00:00,7,RANGE,TREND_DOWN
